Title,Artist,Rank,Peak Position,Last Position,Weeks
"Someone You Loved","Lewis Capaldi",1,1,3,24
"Truth Hurts","Lizzo",2,1,1,25
"Senorita","Shawn Mendes & Camila Cabello",3,1,2,18
"Circles","Post Malone",4,4,4,8
"No Guidance","Chris Brown Featuring Drake",5,5,5,20
"Panini","Lil Nas X",6,5,9,18
"HIGHEST IN THE ROOM","Travis Scott",7,1,6,3
"Ran$om","Lil Tecca",8,4,7,21
"Bad Guy","Billie Eilish",9,1,8,30
"10,000 Hours","Dan + Shay & Justin Bieber",10,4,11,3
"Memories","Maroon 5",11,11,12,5
"Bandit","Juice WRLD & YoungBoy Never Broke Again",12,10,10,3
"Beautiful People","Ed Sheeran Featuring Khalid",13,13,14,17
"Good As Hell","Lizzo",14,14,20,9
"Lose You To Love Me","Selena Gomez",15,15,0,1
"I Don't Care","Ed Sheeran & Justin Bieber",16,2,15,24
"Goodbyes","Post Malone Featuring Young Thug",17,3,13,16
"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",18,1,16,34
"Trampoline","SHAED",19,18,21,21
"Only Human","Jonas Brothers",20,20,24,19
"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee",21,1,19,53
"Talk","Khalid",22,3,18,37
"Sucker","Jonas Brothers",23,1,23,34
"On Chill","Wale Featuring Jeremih",24,22,22,11
"Money In The Grave","Drake Featuring Rick Ross",25,7,25,19
"Playing Games","Summer Walker",26,16,26,8
"Ballin'","Mustard Featuring Roddy Ricch",27,27,30,14
"Suge","DaBaby",28,7,27,30
"How Do You Sleep?","Sam Smith",29,24,28,14
"Baby","Lil Baby & DaBaby",30,21,29,14
"Hot","Young Thug Featuring Gunna",31,26,32,10
"One Man Band","Old Dominion",32,32,45,9
"Dancing With A Stranger","Sam Smith & Normani",33,7,34,41
"Even Though I'm Leaving","Luke Combs",34,34,39,8
"Hot Girl Summer","Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",35,11,31,11
"One Thing Right","Marshmello & Kane Brown",36,36,38,18
"You Need To Calm Down","Taylor Swift",37,2,33,19
"Lover","Taylor Swift",38,10,37,10
"Camelot","NLE Choppa",39,37,40,6
"My Type","Saweetie",40,21,35,17
"Prayed For You","Matt Stell",41,36,36,12
"Time","NF",42,42,46,14
"Heat","Chris Brown Featuring Gunna",43,41,41,8
"Graveyard","Halsey",44,43,43,6
"223's","YNW Melly & 9lokknine",45,34,42,7
"Wow.","Post Malone",46,2,47,44
"Lonely Child","YoungBoy Never Broke Again",47,44,44,2
"Good Vibes","Chris Janson",48,48,48,8
"Love You Too Late","Cole Swindell",49,49,60,12
"Take What You Want","Post Malone Featuring Ozzy Osbourne & Travis Scott",50,8,51,7
"Dance Monkey","Tones And I",51,51,75,3
"Liar","Camila Cabello",52,52,53,7
"The Git Up","Blanco Brown",53,14,49,20
"I Don't Know About You","Chris Lane",54,39,52,16
"BOP","DaBaby",55,19,54,4
"Hot Girl Bummer","blackbear",56,56,61,6
"VIBEZ","DaBaby",57,21,58,4
"Make No Sense","YoungBoy Never Broke Again",58,57,57,2
"Baby Sitter","DaBaby Featuring Offset",59,59,72,11
"Cash Shit","Megan Thee Stallion Featuring DaBaby",60,36,59,18
"Every Little Thing","Russell Dickerson",61,61,65,8
"Self Control","YoungBoy Never Broke Again",62,50,50,7
"F.N","Lil Tjay",63,56,56,11
"The Bones","Maren Morris",64,53,67,5
"Enemies","Post Malone Featuring DaBaby",65,16,63,7
"Lights Up","Harry Styles",66,17,17,2
"INTRO","DaBaby",67,13,55,5
"What Happens In A Small Town","Brantley Gilbert + Lindsay Ell",68,64,68,11
"Hate Me","Ellie Goulding & Juice WRLD",69,69,0,11
"All Dat","Moneybagg Yo X Megan Thee Stallon",70,70,70,2
"China","Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",71,43,76,14
"Come Thru","Summer Walker & Usher",72,42,74,3
"Living","Dierks Bentley",73,51,69,13
"Tip Of My Tongue","Kenny Chesney",74,74,77,15
"Motivation","Normani",75,33,71,10
"Make It Right","BTS Featuring Lauv",76,76,0,2
"Leave Em Alone","Layton Greene, Lil Baby, City Girls & PnB Rock",77,77,82,3
"Hot Now","YoungBoy Never Broke Again",78,66,66,2
"Rich As Hell","YoungBoy Never Broke Again",79,79,100,2
"Remember You Young","Thomas Rhett",80,80,83,6
"We Were","Keith Urban",81,80,97,8
"Otro Trago","Sech, Darell, Nicky Jam, Ozuna & Anuel AA",82,34,84,20
"Kinfolks","Sam Hunt",83,64,64,2
"Lalala","Y2K & bbno$",84,55,80,17
"Higher Love","Kygo X Whitney Houston",85,63,87,7
"In Control","YoungBoy Never Broke Again",86,73,73,2
"Heartache Medication","Jon Pardi",87,84,93,4
"Hot Shower","Chance The Rapper Featuring MadeinTYO & DaBaby",88,58,91,4
"Callaita","Bad Bunny & Tainy",89,52,86,20
"Nice To Meet Ya","Niall Horan",90,83,0,2
"Don't Call Me Angel (Charlie's Angels)","Ariana Grande, Miley Cyrus & Lana Del Rey",91,13,81,6
"Carter Son","YoungBoy Never Broke Again",92,62,62,2
"La Cancion","J Balvin & Bad Bunny",93,93,95,3
"What If I Never Get Over You","Lady Antebellum",94,86,92,9
"I'll Kill You","Summer Walker Featuring Jhene Aiko",95,61,89,3
"TOES","DaBaby Featuring Lil Baby & Moneybagg Yo",96,28,85,4
"Somebody","Internet Money, Lil Tecca & A Boogie Wit da Hoodie",97,97,0,1
"DHL","Frank Ocean",98,98,0,1
"Boyfriend","Ariana Grande & Social House",99,8,78,12
"Wish Wish","DJ Khaled Featuring Cardi B & 21 Savage",100,19,94,15
"Time I'm On","YoungBoy Never Broke Again",79,79,0,1
"Saint-Tropez","Post Malone",88,18,76,6
"Writing On The Wall","French Montana Featuring Post Malone, Cardi B & Rvssian",90,56,74,3
"Hollywood's Bleeding","Post Malone",96,15,81,6
"Slow Dancing In The Dark","Joji",98,96,100,3
"Bad Bad Bad","Young Thug Featuring Lil Baby",99,32,89,9
"If I Can't Have You","Shawn Mendes",48,2,41,23
"The London","Young Thug, J. Cole & Travis Scott",57,12,50,20
"Stretch You Out","Summer Walker Featuring A Boogie Wit da Hoodie",68,68,0,1
"Body","Summer Walker",73,73,0,1
"Drunk Dialing...LODT","Summer Walker",79,79,0,1
"Over It","Summer Walker",80,80,0,1
"Southbound","Carrie Underwood",88,64,64,13
"RAW SHIT","DaBaby Featuring Migos",90,51,51,2
"Potential","Summer Walker",92,92,0,1
"Right Back","Khalid Featuring A Boogie Wit da Hoodie",93,73,88,11
"Die For Me","Post Malone Featuring Future & Halsey",94,20,80,5
"POP STAR","DaBaby Featuring Kevin Gates",97,49,49,2
"No Me Conoce","Jhay Cortez, J Balvin & Bad Bunny",99,71,97,14
"Without Me","Halsey",33,1,34,52
"iPHONE","DaBaby & Nicki Minaj",43,43,0,1
"OFF THE RIP","DaBaby",47,47,0,1
"GOSPEL","DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",55,55,0,1
"REALLY","DaBaby Featuring Stunna 4 Vegas",63,63,0,1
"XXL","DaBaby",69,69,0,1
"PROLLY HEARD","DaBaby",73,73,0,1
"Chicken Noodle Soup","j-hope Featuring Becky G.",81,81,0,1
"By My Lonely","Kevin Gates",86,86,0,1
"On The Road","Post Malone Featuring Meek Mill & Lil Baby",87,22,63,4
"There He Go","DaBaby",89,89,0,1
"The Ones That Didn't Make It Back Home","Justin Moore",92,46,72,16
"Adicto","Tainy, Anuel AA & Ozuna",98,86,86,2
