,Title,Artist,Rank,Peak Position,Last Position,Weeks,Lyrics
0,Someone You Loved,Lewis Capaldi,1,1,3,24," going under, time, fear there's one save nothing really got way driving crazy need somebody heal, somebody know somebody have, somebody hold easy say, never guess kinda liked way numbed pain day bleeds nightfall get let guard pulled rug getting kinda used someone loved  going under, time, fear there's one turn nothing way loving got sleeping without now, need somebody know, somebody hear somebody have, know feels easy say, never guess kinda like way help escape day bleeds nightfall get let guard pulled rug getting kinda used someone loved tend close eyes hurts sometimes fall arms i'll safe sound till come back around now, day bleeds nightfall get let guard pulled rug getting kinda used someone loved day bleeds nightfall get let guard pulled rug getting kinda used someone loved let guard pulled rug getting kinda used someone loved"
1,Truth Hurts,Lizzo,2,1,1,25,"why're men great 'til gotta great? woo! took dna test, turns  % bitch even  crying crazy yeah, got boy problems, that's human bling bling, solve 'em, that's goddess coulda bad bitch, non-committal help career little 'posed hold down, holding back that's sound calling back why're men great 'til gotta great? ('til gotta great) text me, tell straight face (tell straight face) best friend sat salon chair (down salon chair) shampoo press, get hair fresh photos bomb lighting (bomb lighting) new man minnesota vikings (minnesota vikings) truth hurts, needed something exciting (yee) bom bom bi dom bi dum bum bay (eh, yeah, yeah, yeah) tried break heart? oh, breaks heart thought ever no, ain't start hey,  glad back bitch mean, would wanna hide this? never, ever, ever, ever, ever side chick put sing single ain't worried 'bout ring finger tell friend, 'shoot shot' see 'em okay, already dms why're men great 'til gotta great? ('til gotta great) text me, tell straight face (tell straight face) best friend sat salon chair (down salon chair) shampoo press, get hair fresh photos bomb lighting (bomb lighting) new man minnesota vikings (minnesota vikings) truth hurts, needed something exciting (yee) bom bom bi dom bi dum bum bay (eh, yeah, yeah, yeah) a hit back minute (yeah, yeah) play tag, bitch, (one time) fuck lies (two times), goodbyes (woo) keep pushing like ay-ay-ay a hit back minute (yeah, yeah) play tag, bitch, (one time) fuck lies (two times), goodbyes (woo) keep pushing like ay-ay-ay (woo) why're men great 'til gotta great? ('til gotta great) text me, tell straight face (tell straight face) best friend sat salon chair (down salon chair) shampoo press, get hair fresh photos bomb lighting (bomb lighting) new man minnesota vikings (minnesota vikings) truth hurts, needed something exciting (yee) bom bom bi dom bi dum bum bay (eh, yeah, yeah, yeah) bomb lighting minnesota vikings yee, eh, yeah, yeah, yeah"
2,Senorita,Shawn Mendes & Camila Cabello,3,1,2,18,"love call señorita wish could pretend need ya every touch ooh-la-la-la true, la-la-la ooh, runnin' ooh, keep coming ya land miami air hot summer rain sweat drippin' even knew name, la-la-la felt like ooh-la-la-la, yeah, sapphire moonlight danced hours sand tequila sunrise body fit right hands, la-la-la felt like ooh-la-la-la, yeah love call señorita wish could pretend need ya every touch ooh-la-la-la true, la-la-la ooh, runnin' ooh, know love call señorita wish damn hard leave ya every touch ooh-la-la-la true, la-la-la ooh, runnin' ooh, keep coming ya locked hotel there's things never change say we're friends friends know way taste, la-la-la (la, la, la) 'cause know long time coming ya let fall, oh ooh, lips undress me, hooked tongue ooh, love, kiss deadly, stop love call señorita wish could pretend need ya every touch ooh-la-la-la true, la-la-la ooh, runnin' ooh, know love call señorita wish damn hard leave ya (so damn hard leave ya) every touch ooh-la-la-la true, la-la-la (true la-la) ooh, runnin' ooh, keep coming ya along, i've coming ya (for ) hope meant something (oh) call name, i'll coming ya (coming ) coming ya (coming ) ya ya (oh, loves call) ya ooh, runnin' ooh, keep coming ya"
3,Circles,Post Malone,4,4,4,8,"oh, oh, oh oh, oh, oh oh, oh, oh, oh, oh turn around 'til upside i'll bad guy now, know ain't proud even tried believe it, every time seasons change love went cold feed flame 'cause can't let go run away, we're running circles run away, run away dare something  waiting again, take blame run away, we're running circles run away, run away, run away let go, got feeling time let go said so, knew doomed get-go thought special, special sex though, sex though still hear echoes (the echoes) got feeling time let go, let go seasons change love went cold feed flame 'cause can't let go run away, we're running circles run away, run away dare something  waiting again, take blame run away, we're running circles run away, run away, run away maybe understand  going me, got lose? make mind, tell me, gonna do? me, let go seasons change love went cold feed flame 'cause can't let go run away, we're running circles run away, run away dare something  waiting again, take blame run away, we're running circles run away, run away, run away"
4,No Guidance,Chris Brown Featuring Drake,5,5,5,20,"name devvon terrell raw session know vibes trips plan next whole week bands long nigga cheap flex od, sex od got it, girl, got (oh) oh lemme tell got it, girl, got deal five star nigga know work figures  applying pressure finger trigger know got roster full hittas need first line like kawhi clippers much shit even know difference made many mental notes can't save picture got many cuts bruises still invested still treat like best like kd nets see know legit (yeah) high , need fix (yeah) hot girl  lukewarm that's like comparing groupon chile got it, girl, got (aye) got it, girl, got"
5,Panini,Lil Nas X,6,5,9,18,"d-d-daytrip took ten (hey) ayy, panini, meanie thought wanted go tryna keep teeny? dream, wished genie got fans finally, ain't wanting see me? thought want life, life said wanted see thrive, lied say want say want ayy, panini, meanie thought wanted go tryna keep teeny now? need me, number one streaming oh yeah, used love happened, what's meaning? thought want life, life said wanted see thrive, lied done, get upper hand need big benz, another fan still want fan a need sit down, mean make demands need to... say want say want d-d-daytrip took ten (hey)"
6,HIGHEST IN THE ROOM,Travis Scott,7,1,6,3,"got room fumes (yeah) fill mind ideas  highest room (it’s lit) hope make outta (let's go) saw eyes, know  gone (ah) see things might fear i’m doin' show, i'll back soon (soon) ain't wanna hear (nah) got room (ah) legs wrapped around beard got fastest car, zoom (skrrt) hope make outta (ah)  , feel alive say love me, lie (yeah) cross heart, wanna die keep pistol side (yeah) case it’s fumes (smoke) fill mind ideas (straight up) i’m highest room (it's lit) hope make outta (let’s go, yeah) ain't stressin' 'bout loot (yeah) block made quesería molly, boot ain’t comin' back live life la familia much gang can't see ya (yeah) turn 'til can't hear (we can't) runnin', runnin' 'round thrill yeah, dawg, dawg, 'round real (gang) raw, raw, pourin' real (drank) nah, nah, nah, back vip (in vip) gorgeous, baby, keep hard steel ah, life, choose uh, since kids gon' stay top break rules uh, fill mind ideas case fumes fill mind ideas (straight up)  highest room ( highest, lit) hope make outta"
7,Ran$om,Lil Tecca,8,4,7,21,"turn dancer yeah internet money, bitch got black, got white, want? hop outside ghost hop phantom know  ’bout blow, ain't dumb try take flow, take ass ransom know  gone see blowin’ up, say want got two twin glocks, turn dancer see two twin opps, leave 'em banner got two thick thots, wanna link gang, yeah got red, got blue, want? chanel balenciaga, louis vuitton know got fendi, prada hit milan needed die rider, need one started bottom, could see way stunt want diamonds, want shit weigh ton opps, tryna line 'cause hate place  niggas know me, know place  got lots shawties tryna pull place ain't want last year, get face inbox, know want taste know want downfall, lil' nigga, laced? got black, got white, want? hop outside ghost hop phantom know i’m ’bout blow, ain't dumb try take flow, take ass ransom know i’m gone see blowin' up, say want got two twin glocks, turn dancer see two twin opps, leave 'em banner got two thick thots, wanna link gang, yeah got black, got white, want? hop outside ghost hop phantom know  ’bout blow, ain't dumb try take flow, take ass ransom know  gone see blowin' up, say want got two twin glocks, turn dancer see two twin opps, leave 'em banner got two thick thots, wanna link gang, yeah"
8,Bad Guy,Billie Eilish,9,1,8,30,"white shirt red, bloody nose sleepin', tippy toes creepin' around like one knows think criminal bruises knees say thank please want  wanting soul? cynical tough guy like really rough guy can't get enough guy chest always puffed guy  bad type make mama sad type make girlfriend mad tight might seduce dad type  bad guy duh  bad guy like take control even know me, i'll let play role i'll animal mommy likes sing along sing song reads lyrics she'll pity men know tough guy like really rough guy can't get enough guy chest always puffed guy  bad type make mama sad type make girlfriend mad tight might seduce dad type  bad guy duh  bad guy, duh  good bein' bad, bad like get mad guess  pretty glad alone said scared me? mean, see sees maybe 'cause  wearing cologne  bad guy  bad guy bad guy, bad guy  bad"
9,"10,000 Hours",Dan + Shay & Justin Bieber,10,4,11,3,"love rain, make dance drunk friends party? what's favorite song, make smile? think me? close eyes, tell me, dreamin'? everything, wanna know i'd spend ten thousand hours ten thousand oh, that's takes learn sweet heart might never get there,  gonna try ten thousand hours rest life  gonna love (ooh, ooh-ooh, ooh, ooh) miss road grew on? get middle name grandma? think forever now, think me? close eyes, tell me, dreamin'? everything, wanna know i'd spend ten thousand hours ten thousand oh, that's takes learn sweet heart might never get there,  gonna try ten thousand hours rest life  gonna love (ooh, ooh-ooh, ooh, ooh)  gonna love (ooh, ooh-ooh, ooh, ooh) ooh, want good bad everything ooh, gotta cure curiosity ooh, yeah i'd spend ten thousand hours ten thousand oh, that's takes learn sweet heart (sweet heart rs) might never get there,  gonna try (yeah) ten thousand hours rest life  gonna love (ooh, ooh-ooh, ooh, ooh)  gonna love (ooh, ooh-ooh, ooh, ooh) yeah i... love rain, make dance?  gonna love ( gonna love )  gonna love"
