Title,Artist,Count
Simple Man,The Charlie Daniels Band,15280664
Small Talkin',Brandon Ray,1932118
I Love This Bar,Toby Keith,46529968
Billy's Got His Beer Goggles On - Remastered Version,Neal McCoy,15541833
Young Forever,Eric Paslay,18637044
"John Cougar, John Deere, John 3:16",Keith Urban,84768716
Picture (feat. Sheryl Crow),Kid Rock,62822589
When the Sun Goes Down,Kenny Chesney,35621975
Only One,Chris Bandi,1410140
My Old Man,Zac Brown Band,36931437
"Next To You, Next To Me",Shenandoah,10459597
My Wish,Rascal Flatts,55208305
Good Girl,Dustin Lynch,63742992
Five More Minutes,Scotty McCreery,88119443
Dirt Road Anthem,Jason Aldean,126711853
Strawberry Wine,Deana Carter,37370502
What Guy Wouldn't,Waterloo Revival,26811902
Made In America,Toby Keith,38623345
When I Said I Do,Clint Black,7076086
Guns & Roses,Drew Baldridge,2342081
Feathered Indians,Tyler Childers,36805185
Louisiana Saturday Night,Mel McDaniel,20490218
Reload (feat. Taylor Ray Holbrook),Colt Ford,9858679
A Long And Happy Life,Delta Rae,4004004
God Bless This Mess,Jillian Jacqueline,5724149
Kill A Word,Eric Church,61778971
I Just Want To Dance With You,George Strait,13912931
Meet In the Middle,Diamond Rio,42071290
Summer Cool,Stephen Carey,4252258
The Blues Man,"Hank Williams, Jr.",5403219
You Shouldn't Kiss Me Like This,Toby Keith,8328846
Lights Come On,Jason Aldean,57207493
Johnny & June,Heidi Newfield,9427564
Blue Ain't Your Color,Keith Urban,154866510
Break Down Here,Julie Roberts,5078457
Drive (For Daddy Gene),Alan Jackson,45766541
You Were Mine,Dixie Chicks,17051368
Achy Breaky Heart,Billy Ray Cyrus,45404981
We Went,Randy Houser,40013502
Suds in the Bucket,Sara Evans,24406025
All My Rowdy Friends (Have Settled Down),"Hank Williams, Jr.",16940404
Bring On The Rain,Jo Dee Messina,7162727
Stay,Sugarland,32233740
Follow Your Arrow,Kacey Musgraves,51288990
Don't Let Our Love Start Slippin' Away,Vince Gill,12548287
Pickup Man,Joe Diffie,32579405
Love You Too Late,Cole Swindell,22684839
Blonde,Kip Moore,7464661
Longhaired Redneck,David Allan Coe,6550570
I'm Gonna Be Somebody,Travis Tritt,13779584
With You I Am,Cody Johnson,35443957
19 Somethin' - Greatest Hits Version,Mark Wills,11164418
Southside Of Heaven,Ryan Bingham,17142860
Hell If I Know,Chase Bryant,23635645
Do I Make You Wanna,Billy Currington,137847471
Heaven,Kane Brown,215664021
Remember When,Alan Jackson,16897785
Movin' On,Muscadine Bloodline,5847103
Georgia Time,Riley Green,12498624
Redneck Woman,Gretchen Wilson,24479820
Suitcase,Steve Moakler,11781078
Craving You,Thomas Rhett,147254226
Baby This and Baby That,Jon Wolfe,2288644
Shoot Out the Lights,Jessie James Decker,2277464
Leave The Night On,Sam Hunt,162522632
On the Other Hand,Randy Travis,11616883
Drunk On You,Luke Bryan,108391612
Dirt On My Boots,Jon Pardi,135959851
American Kids,Kenny Chesney,107834658
I'll Name the Dogs,Blake Shelton,59606853
Must Be Doin' Somethin' Right,Billy Currington,45608534
Anymore,Travis Tritt,16340672
More Girls Like You,Kip Moore,73336975
Light It Up,Luke Bryan,71431249
Unbelievable,Diamond Rio,4150894
The Weekend,Brantley Gilbert,81632773
Rx (Medicate),Theory of a Deadman,98899883
Seein' Red,Dustin Lynch,51048159
Lifers,Cody Jinks,4637169
"Willie, Waylon and Me",David Allan Coe,6687659
Doin' Fine,Lauren Alaina,29814906
Forever Country,"Artists Of Then, Now & Forever",28050458
How I'll Always Be,Tim McGraw,28393695
"Huntin', Fishin' And Lovin' Every Day",Luke Bryan,110348060
The Bull,Kip Moore,12019433
The Way I Talk,Morgan Wallen,64096924
The Difference,Tyler Rich,31341798
Sunday Morning,Parmalee,37599559
Kiss Somebody,Morgan Evans,84081744
Back To Life,Rascal Flatts,29021135
Look At You,Seth Ennis,54734476
I Should Go to Church Sometime,Tyler Farr,19592522
Right Or Wrong,George Strait,5329456
I Told You So,Randy Travis,11441751
Night's On Fire,David Nail,90994909
Whoever Broke Your Heart,Murphy Elmore,17204680
Make Him Wait,Abby Anderson,9993781
Chasin' That Neon Rainbow,Alan Jackson,19493825
Over Did It,Adam Sanders,6675799
I'll Be,Edwin McCain,91583397
Buy Me a Boat,Chris Janson,77609440
Who I Am,Jessica Andrews,8037753
Wish You Were Here,Cody Jinks,5308223
Dixie On My Mind,"Hank Williams, Jr.",6856626
To a T,Ryan Hurd,50014158
High School,Kelsea Ballerini,8680715
Drift Away,Uncle Kracker,42929743
You Are,Jordan Brooker,2336124
Little Man,Alan Jackson,6031916
Drunk Like You,The Cadillac Three,18997077
Party For Two - Country Version With Intro,Shania Twain,14595921
The Ones That Like Me,Brantley Gilbert,33200217
Everything's Gonna Be Alright,David Lee Murphy,41227855
The Blues Man,Alan Jackson,6664857
Landslide,Dixie Chicks,72324054
I Go Back,Kenny Chesney,37357074
Party Crowd,David Lee Murphy,7390305
She Got the Best of Me,Luke Combs,118008702
Three Chords & The Truth,Chase Rice,23461430
Wanted,Hunter Hayes,148747911
Tulsa Time,Don Williams,11076502
Wagon Wheel,Darius Rucker,251191613
Rockin' Chairs,Brantley Gilbert,8990368
The Housefire,Turnpike Troubadours,7526083
Slower,Filmore,29239193
Fall,Clay Walker,16012930
I'm Not Strong Enough to Say No,BlackHawk,5457043
The Race Is On,Sawyer Brown,9257687
I Don't Have To Be Me ('Til Monday) - Single Version,Steve Azar,4566940
A Country Boy Can Survive,"Hank Williams, Jr.",50071486
Any Ol' Barstool,Jason Aldean,100102389
Sweet Southern Comfort,Buddy Jewell,6326567
Life is a Highway,Rascal Flatts,182117786
Came Here to Forget,Blake Shelton,63691501
Nothin' Like Us,Josh Gracin,17854202
"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version",The Soggy Bottom Boys,30003930
Ends of the Earth,Brandon Ray,3570607
She's In Love With The Boy - Single Version,Trisha Yearwood,37382584
Sittin’ Pretty,Florida Georgia Line,8943130
Watching You,Rodney Atkins,58019998
Nothin' Like You,Dan + Shay,86037544
Eyes On You,Chase Rice,138389487
Some Beach,Blake Shelton,27084075
Mess Me Up,Gary Allan,6824130
In Color,Jamey Johnson,55270874
Where It's At,Dustin Lynch,67253678
Skin & Bones,Eli Young Band,18448533
Slow Down,Steve Moakler,6870653
Do You Believe Me Now,Jimmy Wayne,2938496
Small Town USA,Justin Moore,28089294
Bittersweet (feat. Lindsay Ell),Paul Brandt,1623866
The Shake,Neal McCoy,5631627
My Front Porch Looking In,Lonestar,15552178
"Last Thing I Needed, First Thing This Morning",Chris Stapleton,16136742
Tin Man,Miranda Lambert,4204748
From the Ground Up,Dan + Shay,124190418
Goodbye Says It All,BlackHawk,11944965
Drunk on Your Love,Brett Eldredge,88891948
Why Don't We Just Dance,Josh Turner,55225998
Drowns The Whiskey (feat. Miranda Lambert),Jason Aldean,56286210
Neon Church,Tim McGraw,9359912
A Broken Wing,Martina McBride,7521805
Drinkin' Bone,Tracy Byrd,19006915
Your Man,Josh Turner,111330152
One More Red Light,Cassadee Pope,4856598
My Hometown,Charlie Robison,13714395
Every Storm (Runs Out Of Rain),Gary Allan,56234708
This Cowboy's Hat,Chris LeDoux,16069117
Killin' Time,Clint Black,23494588
There’s A Girl,Trent Harmon,45742473
Bleachers,Jillian Jacqueline,2947127
Just Got Paid,Emerson Drive,6758685
Come A Little Closer,Dierks Bentley,19024289
Thinkin' Problem,David Ball,6927217
Angel Eyes,Love and Theft,49055413
Ballad Of A Southern Man,Whiskey Myers,25442082
Boots On,Randy Houser,12850059
The Race Is On,George Jones,11353200
Little Bit of You,Chase Bryant,36552486
Watching Airplanes,Gary Allan,25624883
The Long Way,Brett Eldredge,89653879
What Hurts The Most,Rascal Flatts,120135205
Home And A Hometown,Hannah Ellis,1802422
Wacky Tobaccy,Toby Keith,3634850
Love Someone,Brett Eldredge,47828001
It's Five O'Clock Somewhere,Alan Jackson,77730615
Okie From Muskogee - Platoon/Sountrack Version,Merle Haggard,5122522
If My Name Was Whiskey,Carly Pearce,12168836
That Don't Sound Like You,Lee Brice,60585395
I Can Still Make Cheyenne,George Strait,17051278
You Should Be Here,Cole Swindell,63272075
Come Over - Acoustic Mixtape,Sam Hunt,19308327
4 Lane Gone,Colt Ford,13086795
The Driver,Charles Kelley,23744024
Unlove You,Jennifer Nettles,10081922
Crazy Girl,Eli Young Band,86930558
Be Yourself,Seth Alley,2533123
Red Light,David Nail,14582904
I’m All In,Brian Davis,1546914
Somebody Else's Heart,Lady Antebellum,5429681
Setting the World On Fire,Kenny Chesney,59643389
She Won't Be Lonely Long,Clay Walker,30488860
Let There Be Cowgirls,Chris Cagle,20180434
My Church,Maren Morris,83002446
Alright,Darius Rucker,53895797
The House That Built Me,Miranda Lambert,55889133
You'll Think Of Me - Single Version,Keith Urban,35555940
Right Where I Need To Be,Gary Allan,20867404
I Need You,Faith Hill,15205645
I Hope You Dance,Lee Ann Womack,39570637
Don't Get Better Than That,LOCASH,8586252
Gonna Wanna Tonight,Chase Rice,64845588
Ends of the Earth,Kenny Chesney,5616217
Caught Up In The Country,Rodney Atkins,92469737
Whatcha Gonna Do With A Cowboy,Chris LeDoux,7467605
Female,Keith Urban,45659663
You Make It Easy,Jason Aldean,169487536
Summertime Blues,Alan Jackson,613873
Somethin' 'Bout A Truck,Kip Moore,90747750
Country State Of Mind,"Hank Williams, Jr.",7480118
Hurricane,Luke Combs,276331578
Love by the Moon,Tyler Farr,4156898
What Ifs,Kane Brown,254208747
Pop a Top,Alan Jackson,12368122
Dinosaur,"Hank Williams, Jr.",18777710
Drinkin' Buddies,Logan Mize,3874026
Nothing On But The Radio,Gary Allan,15703135
Heat Wave,John King,2002366
Song for the Saints,Kenny Chesney,5502990
Save a Horse (Ride a Cowboy),Big & Rich,60220735
Amazed,Lonestar,73670863
Check Yes Or No,George Strait,14402377
Hometown,Kane Brown,24729399
Rearview Town,Jason Aldean,48269394
When It Rains It Pours,Luke Combs,214436914
Love That About You,Filmore,33907927
Think & Drive,Seth Ennis,9864209
Whiskey Bent And Hell Bound,"Hank Williams, Jr.",25743799
Blue Clear Sky,George Strait,14810096
She Wouldn't Be Gone,Blake Shelton,19332044
Nothin' But The Taillights,Clint Black,7716162
She's My Kind Of Rain,Tim McGraw,16217575
Whiskey Lullaby,Brad Paisley,18391991
Famous,Mason Ramsey,46109845
I Be U Be,High Valley,5283501
Dirt Road Dollars,Dirt Rock Empire,12712916
Blue Jean Baby,Jimmie Allen,3379461
Good Morning Beautiful,Steve Holy,9486003
Dallas,Alan Jackson,3371218
Delta Dawn,Tanya Tucker,13792512
May We All,Florida Georgia Line,169489534
Last Time for Everything,Brad Paisley,28697548
Better Man,Little Big Town,84877467
Smoke A Little Smoke,Eric Church,51027561
While We're Young,April Kry,876857
Gone,Montgomery Gentry,9019740
Give Up Your Heart,Levon,1569222
Yeah,Joe Nichols,57423700
Vacation,Thomas Rhett,46072848
Born To Boogie,"Hank Williams, Jr.",7381786
Help Me Hold On,Travis Tritt,6663059
Texas Lullaby,Aaron Watson,4341716
Grave,Thomas Rhett,29366477
Hit You Where It Hurts,William Clark Green,3399498
The Cowboy Rides Away,George Strait,9550974
The Only Way I Know (with Luke Bryan and Eric Church),Jason Aldean,38896250
Do I,Luke Bryan,44188590
Are You Gonna Kiss Me Or Not,Thompson Square,42640065
Sold (The Grundy County Auction Incident),John Michael Montgomery,43525549
Where I Go When I Drink,Chris Young,5724482
Fly,Maddie & Tae,33898668
Somethin' I'm Good At,Brett Eldredge,50414651
Whatever She's Got,David Nail,82088410
Happens Like That,Granger Smith,61705586
Sunshine & Whiskey,Frankie Ballard,73940446
Songs We Sang,Levi Hummon,6201936
Chevrolet DJ,Cole Swindell,6240924
Good Directions,Billy Currington,76618888
Mercy,Brett Young,102564046
Kinda Don't Care,Justin Moore,28493850
Hold You Back,Ryan Hurd,19336957
I Was Jack (You Were Diane),Jake Owen,63981434
