Title,Artist,Count,Lyrics
Simple Man,The Charlie Daniels Band,15280664,"I ain't nothin' but a simple man They call me a redneck I reckon that I am But there's things goin' on that make me mad down to the core I have to work like a dog to make ends meet There's crooked politicians and crime in the street And I'm madder than hell, and I ain't a-gonna take it no more We tell our kids 'Just say no' Then some panty waist judge lets a drug dealer go Slaps him on the wrist and then he turns him back out on the town But if I have my way with people sellin' dope Take a big tall tree and a short piece of rope I'd hang them up high and let them swing 'til the sun goes down  Well, you know what's wrong with the world today People done gone and put their Bibles away They're livin' by the law of the jungle not the law of the land Well, the Good Book says it so I know it's the truth An eye for an eye and a tooth for a tooth You better watch where you go and remember where you been That's the way I see it, I'm a simple man  Now I'm the kinda man who would not harm a mouse But if I catch somebody breakin' in my house I've got twelve gauge shotgun waitin' on the other side So don't go pushin' me against my will I don't want to have to fight you but I dern sure will If you don't want trouble then you'd better just pass me on by As far as I'm concerned there ain't no excuse For the rapin' and the killin' and the child abuse But I've got a way to put an end to all that fast You just take them rascals out in the swamp Put 'em on their knees and tie 'em to a stump Let the rattlers and the bugs and the alligators do the rest  Well, you know what's wrong with the world today People done gone and put their Bibles away They're livin' by the law of the jungle not the law of the land The Good Book says it so I know it's the truth An eye for an eye and a tooth for a tooth You better watch where you go and remember where you been That's the way I see it, I'm a simple man  Watch where you go and remember where you been That's the way I see it, I'm a simple man"
Small Talkin',Brandon Ray,1932118,"Shot glass on Mahogany Neon buzz and smoky rings Hungry souls and broken hearts Lonely shadows in the dark I could ask you whats your name We could play those same old games Pretend were here for something more Than what were really looking for  Oh, Im done with small talkin Dancin all around it when We know we both want it So tired of cheap lines and white lying Baby lets just be honest Im done with small talkin  I couldnt help but catch your eye You been watching me all night Throwing want to looks my way And now theres nothing left to say, no  Oh, oh, Im done with small talkin Dancin all around it when We know we both want it So tired of cheap lines and white lying Baby lets just be honest Girl no regrets, your hair a mess My shirt, your dress across the floor Oh, tell me what were waiting for, yeah  Im done with small talkin Dancin all around it when We know we both want it So tired of cheap lines and white lying Baby lets just be honest  Oh, Im done with small talkin Dancin all around it when We know we both want it So tired of cheap lines and white lying Baby lets just be honest White lyin baby lets just be honest Im done with small talkin Girl, Im done with small talkin Yeah"
I Love This Bar,Toby Keith,46529968,"We got winners, we got losers Chain smokers and boozers And we got yuppies, we got bikers We got thirsty hitchhikers And the girls next door dress up like movie stars Hmm, hmm, hmm I love this bar  We got cowboys, we got truckers Broken-hearted fools and suckers And we got hustlers, we got fighters Early birds and all-nighters And the veterans talk about their battle scars Hmm, hmm, hmm I love this bar  I love this bar It's my kind of place Just walkin' through the front door Puts a big smile on my face It ain't too far, come as you are Hmm, hmm, hmm I love this bar  I've seen short skirts, we got high-techs Blue-collar boys and rednecks And we got lovers, lots of lookers And I've even seen dancing girls and hookers And we like to drink our beer from a mason jar Hmm, hmm, hmm I love this bar Yes I do  I like my truck (I like my truck) I like my girlfriend (I like my girlfriend) I like to take her out to dinner I like a movie now and then But I love this bar It's my kind of place Just trollin' around the dance floor Puts a big smile on my face No cover charge, come as you are Hmm, hmm, hmm I love this bar Hmm, hmm, hmm I love this bar We got divorcees and a big bouncer man An old jukebox and a real bad band We got waitresses and we got barflies A dumb-ass and a wise-guy If you get too drunk just sleep out in your car Reason number 672 why Hmm, hmm, hmm I love this bar Play it on out boys Beer-thirty's over Got to take it on home Hmm, hmm, hmm I love this bar Hmm, hmm, hmm I love this bar I just love it"
Billy's Got His Beer Goggles On - Remastered Version,Neal McCoy,15541833,"Awww Yah! Billys at the bar, he's been there all night First ten beers hes had, since her goodbye HEY! HEY! She left him broke, in his new truck He don't smoke, but he lights one up Temporary fix, for his heartache Hes hurting bad, but hes feeling great Hes on the dance floor yelling Freebird Singing off pitch but he knows every word Grabs him a girl and he holds on tight Hes chasing everything in sight Hell fall apart when he gets home But right now his worries are gone Life looks good, good, good Billys got his beer goggles on Hey! Lot of drunks, get real mean Theyll pick a fight, over anything Billy wants to laugh, that's why hes here You won't see him cry, unless you spill his beer Hes on the dance floor yelling Freebird Singing off pitch but he knows every word Grabs him another girl and he holds on tight Now hes chasing everything in sight Hell fall apart when he gets home Right now his worries are gone Life looks good, good, good Billy's got his beer goggles.....on Hes on the dance floor yelling Freebird Singing off pitch but he knows every word Grabs him another girl he hold on tight He don't see ugly Through blood shot eyes Hell fall apart when he gets home But right now his worries are gone Cause life looks good, good, good So good, good, good Life looks good, good, good Billy's got his beer goggles ... on"
Young Forever,Eric Paslay,18637044,"Do you remember when we were younger We were hometown back fence jumpers Free as an endless summer Whoa oh Kings and Queens of make-believe Didn't need no cash, didn't need no gasoline So much faith we could walk on water  We were on top of the world Shooting stars, lighting up the boulevard Proud small town boys and girls Wide open roads and unbroken hearts If I had one wish, yeah If I had one wish Oh If I had one wish We'd be together Young forever  Young forever, oh yeah  Do you remember believing in magic Taking a chance just cause we had it Kind of crazy when we look back at it Whoa oh Oh and that first time feeling That first time failing Oh I remember everything  We were on top of the world Shooting stars, lighting up the boulevard Proud small town boys and girls Wide open roads and unbroken hearts If I had one wish, yeah If I had one wish, oh If I had one wish We'd be together Young forever  Young forever, oh yeah  We were on top of the world Shooting stars, lighting up the boulevard Proud small town boys and girls Wide open roads and unbroken hearts If I had one wish, yeah If I had one wish, oh If I had one wish We'd be together Young forever If I had one wish, yeah If I had one wish, oh If I had one wish We'd be together Young forever  Do you remember when we were younger So much faith we could walk on water"
"John Cougar, John Deere, John 3:16",Keith Urban,84768716,"I'm a 45 spinning on an old Victrola I'm a two-strike swinger, I'm a Pepsi Cola I'm a blue jean quarterback saying 'I love you' to the prom queen In a Chevy I'm John Wayne, Superman, California I'm a Kris Kristofferson, Sunday morning I'm a mama and daddy singing along to Don McLean At the levee  And I'm a child of a backseat freedom, baptized by rock and roll Marilyn Monroe and the Garden of Eden, never grow up, never grow old Just another rebel in the great wide open on a boulevard of broken dreams And I learned everything I needed to know from John Cougar, John Deere, John 3:16  Hey, hey Everything I needed That's right  I'm Mark Twain on the Mississippi I'm Hemingway with a shot of whiskey I'm a TV dinner on a tray trying to figure out the Wheel of Fortune I'm a Texaco star, I'm a Gibson guitar I'm still a teenage kid trying to go too far I'm a jukebox waiting in a neon bar for a quarter  And I'm a child of a backseat freedom, baptized by rock and roll Marilyn Monroe and the Garden of Eden, never grow up, never grow old Just another rebel in the great wide open on a boulevard of broken dreams And I learned everything I needed to know from John Cougar, John Deere, John 3:16  I spent a lot of years running from believing Looking for another way to save my soul The longer I live, the more I see it There's only one way home  And I'm a child of a backseat freedom, baptized by rock and roll Marilyn Monroe and the Garden of Eden, never grow up, never grow old Another rebel in the great wide open on a boulevard of broken dreams And I learned everything I needed to know from John Cougar, John Deere, John 3:16 Oh, I'm a child of a backseat freedom, baptized by rock and roll Marilyn Monroe and the Garden of Eden, never grow up, never grow old (never grow old) Another rebel in the great wide open on a boulevard of broken dreams And I learned everything I needed to know from John Cougar, John Deere, John 3:16  (John Cougar, John Deere, John 3:16) Everything I needed (John Cougar, John Deere, John 3:16) Everything I needed (John Cougar, John Deere, John 3:16) Oh, that's right"
Picture (feat. Sheryl Crow),Kid Rock,62822589,"Living my life in a slow hell Different girl every night at the hotel I ain't seen the sunshine in three damn days Been fueling up on cocaine and whiskey Wish I had a good girl to miss me Lord, I wonder if I'll ever change my ways  I put your picture away Sat down and cried today I can't look at you while I'm lying next to her I put your picture away Sat down and cried today I can't look at you while I'm lying next to her  I called you last night in the hotel Everyone knows, but they won't tell But their half-hearted smiles tell me something just ain't right I've been waiting on you for a long time Fuelin' up on heartaches and cheap wine I ain't heard from you in three damn nights  I put your picture away I wonder where you've been I can't look at you while I'm lying next to him I put your picture away I wonder where you've been I can't look at you while I'm lying next to him  I saw you yesterday with an old friend It was the same old same, how have you been? Since you've been gone my world's been dark and grey You reminded me of brighter days I hoped you were coming home to stay I was headed to church I was off to drink you away I thought about you for a long time Can't seem to get you off my mind I can't understand why we're living life this way  I found your picture today I swear I'll change my ways I just called to say I want you To come back home I found your picture today I swear I'll change my ways I just called to say I want you To come back home  I just called to say I love you Come back home Songwriters:  Kid Rock and Sheryl Crow"
When the Sun Goes Down,Kenny Chesney,35621975,"Sun tanned toes tickling the sand Cold drink chilling in my right hand Watchin' you sleep in the evening light Resting up for a long, long night  Because when the sun goes down, we'll be grooving When the sun goes down, we'll be feeling all right When the sun sinks down over the water Everything gets hotter when the sun goes down  All day long just takin' it easy Laying in the hammock where it's nice and breezy Sleeping off the night before Cause when the sun goes down, we'll be back for more  Because when the sun goes down, we'll be grooving When the sun goes down, we'll be feeling all right When the sun sinks down over the water Everything gets hotter when the sun goes down  This old guitar and my dark sunglasses This sweet concoction is smooth as molasses Nothing to do but breathe all day Until the big moon rises and it's time to play  Because when the sun goes down, we'll be grooving When the sun goes down, we'll be feeling all right When the sun sinks down over the water Everything gets hotter when the sun goes down  We'll be feeling alright When the sun sinks down over the water Uncle Kennys' hotter when the sun goes down  Because when the sun goes down, we'll be grooving When the sun goes down, we'll be feeling all right When the sun sinks down over the water Everything gets hotter when the sun goes down"
Only One,Chris Bandi,1410140,"Bass boomin' to the mothafuckin max GPS a pussy Riding deep, where they at? I smoke real good but I don't smoke wax  your bitch fuck good, then I might call back Pussy nigga know, who the hell you playing with Gon buy the rose, yeah she a bad bitch Sew a nigga up like a piece of fabric Then it probably won't make it then that shit tragic Six feet nigga, put him in a basket Young Kenshin Travis steady doing damage Only fuck niggas won't understand me I'm an astronaut, underwater Sandy Took your bitch with a piece if candy Shout out to the niggas up in Miami Chicks and money on the fucking granite I'ma beat his ass, I'm a straight bandit Fuck a nigga mean, let him straight have it Choppers on the scene, Afghanistan shit Memphis young nigga put them in a bracket Probably get rich,  fuck a bad actress Shawty what's your name, I was just asking I was in the bank, I was just cashing Seen her from a far, she was straight dashing But back to the raps, I was just ashin' Nigga too high, I be straight bragging Spit hot fire like a red dragon Talk that shit, better get a casket Try to harm me, have your soul dancing Try to harm me, have your soul transcend School used to call, I was outstanding Bitch I'm VIP, your on the out standing Don't look at me to let you in the building Chris fucking Travis, yeah I know they feel him And when I'm not there, pussy know I'm still here And when I'm not close, pussy know I'm still near When I unload, pussy know I kill shit See you niggas whack, I can't even feel it Tats on my throat, I ain't even feel shit And if you got a bone, lets make a killing Lets make a toast to the niggas not shit Send me a beat, I'ma make it a hit Send me some weed, I'ma make it a lick I'm a weed smoker so I need an extra six You can't spark shit Boy you need an extra kick Shout out to my nigga Purp merked on the beat Beat a nigga ass, leave him merked in the street At a stop sign where the cross roads meet Bitch i'm bout mines, it's never about we I don't do crime, leave it for the young G's I'm a young nigga but I feel OG Backwood lit full of Bubba OG Nigga look away cause you don't know me I'm a suspect, that you probably owe me Niggas need to know that there's only one me You can imitate but can never intervene Kenshin at the top And you just in-between  Bitch"
My Old Man,Zac Brown Band,36931437,"He was a giant And I was just a kid I was always trying To do everything he did I can still remember every lesson he taught me Growing up learning how to be like my old man  He was a lion We were our father's pride But I was defiant When he made me walk the line He knew how to lift me up And when to let me fall Looking back, he always had a plan My old man  My old man Feel the callous on his hands And dusty overalls My old man Now I finally understand I have a lot to learn From my old man  Now I'm a giant Got a son of my own He's always trying To go everywhere I go Do the best I can to raise him up the right way Hoping that he someday wants to be Like his old man   My old man I know one day we'll meet again As he's looking down My old man I hope he's proud of who I am I'm trying to fill the boot of my old man  My old man"
