Title,Artist,Album,ID,Number
Waiting For My Chance To Come,Noah And The Whale,Last Night On Earth,3Ccs9QNyeVfw2ETyHqxT7V,8
Fiction in 4 Moves,Xylos,Body Is Open - EP,6TL9OxR3t8DvjZTDElBxko,5
To Whom It May Concern,The Civil Wars,Barton Hollow,6yCzOeJHgOnJBP3K6IDPIV,4
All My Days,Alexi Murdoch,Time Without Consequence,39xSDFXhE1RmrqR6mF2bXU,1
Ho Hey,The Lumineers,The Lumineers,5h7fx8ILwOZ3I5yQ4eGBl7,5
Song For Zula,Phosphorescent,Muchacho,2he3CA9Gg1XLCsBiMAaXiz,2
You Are the Best Thing,Ray LaMontagne,Gossip In The Grain,2CbLBSlkvh2vR4JRLDRQso,1
Blue Skies,Noah And The Whale,The First Days Of Spring,7wSY8MNBuFKLIRhEXBwl9s,9
Calamity Song,The Decemberists,The King Is Dead,3hd8GiXOy4KUTxVDVUDT5F,2
Live And Die,The Avett Brothers,The Carpenter,4RclFqtNPoThUz7327xFbD,2
The Almond Tree,Hannah Peel,The Broken Wave,7uMuEwpM3RYq2Xi1pru9gk,1
Slow It Down,The Lumineers,The Lumineers,155N1gV0cIFYaLiy3I5d83,6
Little Lion Man,Mumford & Sons,Sigh No More,7KkiEooAVT3EyqQMOl6Iah,7
Home,The Falls,Home - Single,30pYnOc1xbT3iFGqVytUXX,1
Pictures,Benjamin Francis Leftwich,Pictures EP,1KpRGUNr02l6PLpBYU3dUz,1
gun-shy,Grizzly Bear,Shields,57LAEzKL94ZHwbIkUWYCDY,8
Now That I Know,Devendra Banhart,Cripple Crow,60G7J73oytqGOwH73tdQqh,1
Grown Ocean,Fleet Foxes,Helplessness Blues,3l7iMXJ0jqFnIYZRyCUewC,12
The Motherlode,The Staves,The Motherlode EP,3PSmKTzHUfWli1n5ga815C,1
Country Dumb - Piano Version,Josh T. Pearson,Country Dumb (Piano Version),2fLXq07zkjLiqVgaorGyz3,1
Main Street,Deer Tick,Divine Providence [Spotify Exclusive Version],1JINNCbsHuen8hY0hdLJCG,5
Wolf,First Aid Kit,Wolf,4WGwICew7TZW1k2oTYkGrj,1
Santa Fe,Beirut,The Rip Tide,7ri0EOAjJuuyawBbbEyU2L,2
Cats and Dogs,The Head and the Heart,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,1
Love Is All,The Tallest Man On Earth,The Wild Hunt,6cnZbo9GSSTTafDnoXtSGL,7
Black Water,Timber Timbre,Creep on Creepin' On,3MwhPlrS5HltOuXvEeWhuB,4
Fit Against the Country,Horse Feathers,Cynic's New Year,32HXUSvlymSKkbIVOAO2nM,7
Two Fingers,Jake Bugg,Jake Bugg,4asvshPH5nL0mjjMCE9mzi,2
White Wave (2012 Version),Princess Music,White Wave (2012 Version),0aOo8TjP0Ip0btUCMrEgBh,1
"Welcome Home, Son",Radical Face,Ghost,0VYi6aRMwxXpfvNwDCr3bB,2
Let You Break (feat. Julia Stone),William Fitzsimmons,Gold In The Shadow,7HcBZdL6NejVQQ09TZNnT5,7
You Turn Me on I'm a Radio - Live,Joni Mitchell,Miles Of Aisles,2nZveqbqe3w1xTfaZmRpbz,1
2B2,Lambchop,Mr. M,3WRdT0bQHivawqJKWcM35P,2
Down in the Valley,The Head and the Heart,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,4
Suzanne,Leonard Cohen,The Best Of Leonard Cohen,06TH14tYg5Xy6bauQtgxnt,1
Too Close,Alex Clare,The Lateness Of The Hour,1EOD1KDQlcbuFqJFx0XOuQ,4
Wagon Wheel,Old Crow Medicine Show,O.C.M.S.,0ogkqQa8hPAtL02IqwJ36x,11
Wash.,Bon Iver,Bon Iver,7pTARJYCVO49nFXB1Mo5re,7
Rivers and Roads,The Head and the Heart,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,5
February Seven,The Avett Brothers,The Carpenter,4RclFqtNPoThUz7327xFbD,6
Volunteers,Megafaun,Heretofore,7dYV6nGTNSL8rO92j33Q1h,4
People Help the People,Birdy,Birdy,1WGjSVIw0TVfbp5KrOFiP0,3
Blindsided,Bon Iver,"For Emma, Forever Ago",2wBGb1zLSWrmiOdinWE831,5
Tuck the Darkness In,Bowerbirds,The Clearing,2BPr6ZNzvL59XAvp3P2S1r,1
Let Her Go,Passenger,All The Little Lights,2mylGx7w2Q3yhUyN8iEWOF,2
I've Got This Friend,The Civil Wars,Barton Hollow,6yCzOeJHgOnJBP3K6IDPIV,2
Awake My Soul,Mumford & Sons,Sigh No More,4EnpeGmIkEf8nAaBLLTBZn,10
Who Knows Where The Time Goes?,Fairport Convention,The History Of Fairport Convention,7b4EXX4UNdAKYSYHqWeggA,7
Windows Are Rolled Down,Amos Lee,Mission Bell,07HizW0Hwz3rDY9aDtoLXS,2
Mrs. Robinson,Simon & Garfunkel,The Collection,4neXRfYbkqqdrw3E9Z4wol,54
Diamonds,Ben Howard,Every Kingdom (Deluxe Version),2MxcbOGFi99D9JACvj74AH,2
Wandering Me,Sui Zhen,Two Seas,1HUaQSOW2BiFquJ8bn4FtB,10
If I Had a Boat,James Vincent McMorrow,Early in the Morning (Special Edition),33HjgKPNuu4pYcTzAShz2i,1
Naked As We Came,Iron & Wine,Our Endless Numbered Days,20OPxsW0aYB6InxDImJRdt,2
Casimir Pulaski Day,Sufjan Stevens,Illinois,0j0elxqaiOhRDJVpC9IZay,10
Whispers In The Dark,Mumford & Sons,Babel (Deluxe Version),5uJpRBjDkTW8wtwDimhkdm,2
Creature Fear,Bon Iver,"For Emma, Forever Ago",2wBGb1zLSWrmiOdinWE831,6
Don't Carry It All,The Decemberists,The King Is Dead,3hd8GiXOy4KUTxVDVUDT5F,1
Gone,Sea Of Bees,Orangefarben,1ZQ7csYIMkNlMgP5sg5S2c,3
White Winter Hymnal,Fleet Foxes,Fleet Foxes,6spTDEWQfiSsKjkR9NmuDX,2
Anthem,Leonard Cohen,More Best Of,5Tt73Fi2zEcfDJEPopgEv7,5
I Followed Fires,Matthew And The Atlas,Kingdom Of Your Own EP,3Nb4hfsTN9fZw9VGjRXwjS,2
Letting Go,Ben Sollee,Letting Go,4tlm0NZ3nsrjwVxLdqJIhz,1
Sigh No More,Mumford & Sons,Sigh No More,4EnpeGmIkEf8nAaBLLTBZn,1
The Dreamer,The Tallest Man On Earth,Sometimes The Blues Is Just A Passing Bird,5iX4hvypjYfmcRJiJDXXgy,2
Holding Down the Laughter,Bad Books,Bad Books,7tGJQVqvmLrqPccTPoe7Mm,5
Winter Song,The Head and the Heart,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,8
La Grande,Laura Gibson,La Grande,2fUTCpjAW30yrQqT8Vj3O3,1
Daughter's Lament,Carolina Chocolate Drops,The Hunger Games: Songs From District 12 And Beyond,45nqVXRAW0xv0wpU9JljPN,8
Towers,Bon Iver,Bon Iver,7pTARJYCVO49nFXB1Mo5re,4
Quiet Houses,Fleet Foxes,Fleet Foxes,6spTDEWQfiSsKjkR9NmuDX,5
Elephant Gun,Beirut,The Gulag Orkestar,5N82AYJ3FG1znFz3EqJNMm,12
Into the Stream,The Tallest Man On Earth,Shallow Grave,5wv0kOevrQsYsIIQDIrTXJ,9
Pillow Talk,Wild Child,Pillow Talk,6PPFActErBg9LwXfMfOKYB,12
Surfer King,A.A. Bondy,Believers,4ZZNobAYsZAI455bIymzEP,5
Helplessness Blues,Fleet Foxes,Helplessness Blues,3l7iMXJ0jqFnIYZRyCUewC,6
Hero,Family of the Year,Hero,4rYyYDoNos0OZ81phH2nj6,1
Mountain Sound,Of Monsters and Men,My Head Is An Animal,6uD3oJCWT1gtlSCg5lDiNF,3
"Minnesota, WI",Bon Iver,Bon Iver,7pTARJYCVO49nFXB1Mo5re,2
I Will Wait,Mumford & Sons,Babel (Deluxe Version),5uJpRBjDkTW8wtwDimhkdm,3
Venice,The Lighthouse And The Whaler,This Is an Adventure,3tUApde0crIt8VedEovp53,3
Promised Land,St. Augustine,Soldiers,0tWVBiUSbxQdWqU77Fn9I9,2
Time To Think,Sean Rowe,Magic,10QQb2feyBMuJuiL7c2zj3,2
Lost Coastlines,Okkervil River,The Stand Ins,4P0yg2GTvhPLOgRnO1c1tm,2
Broken Crown,Mumford & Sons,Babel (Deluxe Version),5uJpRBjDkTW8wtwDimhkdm,10
It's All Okay,Julia Stone,By The Horns,4nzLNXsuX2DvuaB5D888Qg,3
Battery Kinzie,Fleet Foxes,Helplessness Blues,3l7iMXJ0jqFnIYZRyCUewC,4
Andre,Princeton,Remembrance of Things to Come,4fTy84iQgtXSpBRMrjGYpg,8
Glastonbury,River City Extension,Don't Let The Sun Go Down On Your Anger,2WG7FYyVN0TD0kdbVwRMMW,1
Stubborn Love,The Lumineers,The Lumineers,155N1gV0cIFYaLiy3I5d83,7
My Father's Father,The Civil Wars,Barton Hollow,6yCzOeJHgOnJBP3K6IDPIV,6
The Park,Secret Cities,Strange Hearts,2lk6pVXQ82E5OE3pHsrl06,3
The Ballad Of Love And Hate,The Avett Brothers,Emotionalism,2ktxUTtc7FIpTH3vN70NZm,6
Vodka,Korpiklaani,Karkelo,5baQCDD8cD8OoeYKNmn9Eg,1
Winter Winds,Mumford & Sons,Sigh No More,7KkiEooAVT3EyqQMOl6Iah,3
Some Nights,fun.,Some Nights (Spotify Exclusive),7iycyHwOW2plljYIK6I1Zo,2
Poison & Wine,The Civil Wars,Barton Hollow,6yCzOeJHgOnJBP3K6IDPIV,5
Flowers in Your Hair,The Lumineers,The Lumineers,155N1gV0cIFYaLiy3I5d83,1
This Girl,Punch Brothers,Who's Feeling Young Now?,6RknB2bw00sWWLJms0MiR3,2
Timshel,Mumford & Sons,Sigh No More,7KkiEooAVT3EyqQMOl6Iah,8
Kissing Gates,Crowns,Kissing Gates,4K9QJM9knTTlReKoQQE10T,1
Youth,Daughter,The Wild Youth EP,5qLd09Bygaa3N4b0wXxpFm,3
Little Talks,Of Monsters and Men,My Head Is An Animal,4p9dVvZDaZliSjTCbFRhJy,6
New Slang,The Shins,"Oh, Inverted World",34XlrJGfsDhvRDeJ8a6lie,6
Hold On to What You Believe,Mumford & Sons,Deluxe Companion,6mbBUFmEOdvxf4DjDINDvj,13
This Land is Your Land,Woody Guthrie,"The Asch Recordings, Vol. 1-4",0QfX3caqG3gvfY1Kal2tlQ,1
Love Love Love,Of Monsters and Men,My Head Is An Animal,4p9dVvZDaZliSjTCbFRhJy,8
Landfill,Daughter,His Young Heart,6lAPKzDkgkaAH1RwECm4TM,1
Wherever You Will Go,Charlene Soraia,Wherever You Will Go,48LMoZ1QtUXWjUezlRzFRU,1
Big Jet Plane,Angus & Julia Stone,Down The Way,1Ib6a1XRZ0vOzFSr2BPiWe,4
Give Your Light Off,Woods,Cali in a Cup,1uAyxRibwSkAa1VhSxOLLq,2
Not With Haste,Mumford & Sons,Babel (Deluxe Edition),1SKwteICgxOCIoqtCUqpR6,12
Being A Mockingbird - Live,Bobby Long,Being A Mockingbird (Live),158bfjeHGt7akVqN0HdfPK,1
"Flightless Bird, American Mouth",Iron & Wine,The Shepherd's Dog,6r3zqNcZez592ryTIWUWce,12
The Wolves,Ben Howard,Every Kingdom (Deluxe Version),2MxcbOGFi99D9JACvj74AH,3
Love Thine Enemy,Cass McCombs,Humor Risk,2PXbrkhoBPQoKmeqtb3Dcb,1
Rise,Eddie Vedder,Music For The Motion Picture Into The Wild,0AF0eSjB3atcLpJ7gQBop5,4
Bridge over Troubled Water,Simon & Garfunkel,Greatest Hits,25irJgxRNTlyg8pUmWfDVG,9
Skinny Love,Bon Iver,"For Emma, Forever Ago",2wBGb1zLSWrmiOdinWE831,3
Fare Thee Well (Dink's Song),Oscar Isaac,Inside Llewyn Davis: Original Soundtrack Recording,1HlwBBTjItwW2VN4OG1rin,1
5 Years Time,Noah And The Whale,5 Years Time (eSingle),6nz9RRs6JGztZUlGTg94Av,1
Sounds Like Hallelujah,The Head and the Heart,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,9
Lover Of The Light,Mumford & Sons,Babel (Deluxe Version),5uJpRBjDkTW8wtwDimhkdm,6
My Silver Lining,First Aid Kit,My Silver Lining,7a1g1TGEDBe4TiyokYwWC5,1
Such Great Heights,Iron & Wine,Around The Well,4sgupIgP8AaivCBO5gXA2g,11
On Trees And Birds And Fire,I Am Oak,On Trees and Birds and Fire,6biEmSBhDrLL5YUG7PHRlr,1
Lucky Now,Ryan Adams,Ashes & Fire,1w2aDtXIq2HjpZQOt8JaRa,10
Screws Get Loose,Those Darlins,Screws Get Loose,0ByFHxjvaclvG2XI2UGmfV,1
Like a Rolling Stone,Bob Dylan,Highway 61 Revisited,6YabPKtZAjxwyWbuO9p4ZD,1
Cough Syrup,Young the Giant,Young the Giant (Special Edition),2ww7MYrkExsljnKhcINDse,4
I'm Writing a Novel,Father John Misty,Fear Fun,0r0uA6OMU5fTbWetcMf867,4
O' Be Joyful,Shovels & Rope,O' Be Joyful,5as0Jw3raiHUSVRQlnLYYI,3
Janglin,Edward Sharpe & The Magnetic Zeros,Up From Below,4EBtalKeisyblXwox9mMXf,2
Dirty Paws,Of Monsters and Men,My Head Is An Animal,4p9dVvZDaZliSjTCbFRhJy,1
The Boxer,Simon & Garfunkel,The Collection,4neXRfYbkqqdrw3E9Z4wol,64
"Puff, the Magic Dragon - Remastered","Peter, Paul and Mary","The Very Best of Peter, Paul and Mary",14Qo0TZ3M82PC4EFTt39X0,6
Couer d'Alene,The Head and the Heart,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,2
"Hinnom, TX",Bon Iver,Bon Iver,7pTARJYCVO49nFXB1Mo5re,6
Just a Boy,Angus & Julia Stone,A Book Like This,1CE2LKHcDf4rQmdF2GegUd,4
Gracious,Ben Howard,Every Kingdom (Deluxe Version),2MxcbOGFi99D9JACvj74AH,9
The Road,Mirel Wagner,Mirel Wagner,1D6iqV2QQw6lZBVAPFZHJp,9
Ghosts,The Head and the Heart,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,3
Babel,Mumford & Sons,Babel (Deluxe Version),5uJpRBjDkTW8wtwDimhkdm,1
River Love,Angus Stone,Broken Brights,1dVakfQjbCIdy9PJ4z2XIM,1
Criminals,The Tallest Man On Earth,There´s No Leaving Now,17pCKYQuyvox8TUzbbZaKL,9
Lover Is Childlike,The Low Anthem,The Hunger Games: Songs From District 12 And Beyond,45nqVXRAW0xv0wpU9JljPN,15
Blue Ridge Mountains,Fleet Foxes,Fleet Foxes,6spTDEWQfiSsKjkR9NmuDX,10
Barton Hollow,The Civil Wars,Barton Hollow,6yCzOeJHgOnJBP3K6IDPIV,7
Lump Sum,Bon Iver,"For Emma, Forever Ago",2wBGb1zLSWrmiOdinWE831,2
Morning Song,The Lumineers,The Lumineers,155N1gV0cIFYaLiy3I5d83,11
Victory,Trampled by Turtles,Palomino,20Qgovu90SjEo63L7inaTr,2
Laundry Room,The Avett Brothers,I And Love And You,2PPFtYUnnqMYflIEn3b7ON,8
Tiger Mountain Peasant Song,Fleet Foxes,Fleet Foxes,6UaRSBqoruFQQNd6bUb1E4,4
Your Heart Is a Twisted Vine,Marissa Nadler,The Sister,3pmoAaokJOGLTaXViwejVc,8
Home,Edward Sharpe & The Magnetic Zeros,Up From Below,3yfisavFdGTrjFf9Ecpbio,6
Forget Me Not,The Civil Wars,Barton Hollow,6yCzOeJHgOnJBP3K6IDPIV,11
Do,Young Man,Vol. 1,0PiDp17kQMxTfUFGy99Hnm,4
The Gardener,The Tallest Man On Earth,Shallow Grave,5wv0kOevrQsYsIIQDIrTXJ,6
Hello My Old Heart,The Oh Hellos,The Oh Hello's,6AOSZgozxbKKHlpvmtoxV5,1
Holocene,Bon Iver,Bon Iver,7pTARJYCVO49nFXB1Mo5re,3
Wessex Boy,Frank Turner,England Keep My Bones,3aimNzQ0hr74LkweSD8Of7,9
River Man,Nick Drake,Five Leaves Left,5zau80zbjOc2uEO5P1olK1,2
Beggar in the Morning,The Barr Brothers,The Barr Brothers,6WlXCU1RVCXix8fYy3qB2S,1
Operating,Lady Danville,Operating,7CIvHyfD0zhswP3JEwW1AK,2
John Brown,Papercuts,Can't Go Back,5bndUdKKY7FvIKtIKvwtrp,2
This Wind,The Tallest Man On Earth,Shallow Grave,5wv0kOevrQsYsIIQDIrTXJ,10
Walking Far from Home,Iron & Wine,Kiss Each Other Clean,4hQrMKUocaKJjrv2jxgI9l,1
Among the Leaves,Sun Kil Moon,Among The Leaves,5frkhnAymUCkI7LTmvy6mg,9
Hopeless Wanderer,Mumford & Sons,Babel (Deluxe Version),5uJpRBjDkTW8wtwDimhkdm,9
The Stable Song,Gregory Alan Isakov,"That Sea, The Gambler",7ecZGh7SICLEkqqkBNXfvE,2
Pistol Dreams,The Tallest Man On Earth,Shallow Grave,5wv0kOevrQsYsIIQDIrTXJ,2
Lindo Cihuatlan,Devendra Banhart,Rudo Y Cursi (Disco Rudo),75ZOZR024h6wpbKbAcLDXT,3
Ashamed,Deer Tick,War Elephant,0mOjYGdxvpusOVunsElaCq,1
Chico The American,Field Report,Field Report,2CbWbJtcGXLI9Ex1TQ1dem,7
Home,Phillip Phillips,Home,3ZZ8jN93SBl4v8lF79eVzS,1
"Lay, Lady, Lay",Bob Dylan,Nashville Skyline,5WBx64FIN04CvM2T1MGrUN,6
How Come You Never Go There,Feist,Metals,7d9qVO7iOXlUGvlXTFWhAE,4
In the Open,Benjamin Francis Leftwich,In the Open EP,1dWbdDyYwbhPoQ0MOtBPtM,1
Book Of James,Augustines,Rise Ye Sunken Ships,0i080JQAcvU3RZTX1LkD9E,4
A Lion´s Heart,The Tallest Man On Earth,The Wild Hunt,6cnZbo9GSSTTafDnoXtSGL,9
WHALE,Yellow Ostrich,The Mistress,5TOHIKTd3W91dFKUG8kRj9,2
Dust Bowl Dance,Mumford & Sons,Sigh No More,4EnpeGmIkEf8nAaBLLTBZn,11
Emmylou,First Aid Kit,The Lion's Roar,3JYZyuyjz9GDtNMfcE4kRi,2
The Dress Looks Nice on You,Sufjan Stevens,Seven Swans,71M94qZwSYHxlae0EFxpsy,2
"Green, Green Rocky Road",Oscar Isaac,Inside Llewyn Davis: Original Soundtrack Recording,1HlwBBTjItwW2VN4OG1rin,3
A Case of You,Joni Mitchell,Blue,1vz94WpXDVYIEGja8cjFNa,9
East Harlem,Beirut,The Rip Tide,7ri0EOAjJuuyawBbbEyU2L,3
In the Yard,Bowerbirds,The Clearing,2BPr6ZNzvL59XAvp3P2S1r,2
This Song Is Called Ragged,Jonathan Boulet,We Keep the Beat Found the Sound See the Need Start the Heart (Deluxe Edition),50kf6YTTazS4KCRldq5NwA,2
New Ceremony,Dry the River,Shallow Bed (Deluxe Version),4BCOTedCJnyfAlXgEXOq4F,2
Old Man,Neil Young,Decade,6chUA3fW0UUhceTPOYHvtQ,19
We Don't Eat,James Vincent McMorrow,Early in the Morning (Special Edition),33HjgKPNuu4pYcTzAShz2i,5
Old Pine,Ben Howard,Every Kingdom (Deluxe Version),2MxcbOGFi99D9JACvj74AH,1
Hustle,Tunng,...And Then We Saw Land,5ljoeuKu39p0kDXuBgIWaj,1
Wishing Well,Cheyenne Marie Mize,We Don't Need,4QusEi7QY2KFE5kWB3i3h6,1
Slow And Steady,Of Monsters and Men,My Head Is An Animal,6uD3oJCWT1gtlSCg5lDiNF,4
A Gentle Few,Joe Pug,The Great Despiser,1fgbFOf5qEGOja9xOYbwWo,4
In The Midnight,Langhorne Slim,When the Sun's Gone Down,0e8M7JoG7CklZR230uyg3V,1
Tickle Me Pink,Johnny Flynn,A Larum,1EyH35lAZ4XnrvDJgLDs4B,3
Lovers' Eyes,Mumford & Sons,Babel (Deluxe Edition),1SKwteICgxOCIoqtCUqpR6,7
Vistate,OMBRE,Believe You Me,0c4PYrNwouPWl2tm46sVra,3
One Red Thread,Blind Pilot,3 Rounds And A Sound,6uhOT07f05wYFC8orkPCjm,5
The Wrote & The Writ,Johnny Flynn,A Larum,1EyH35lAZ4XnrvDJgLDs4B,2
The Cascades,Fleet Foxes,Helplessness Blues,3l7iMXJ0jqFnIYZRyCUewC,7
First Day Of My Life,Bright Eyes,"I'm Wide Awake, It's Morning",5msfCyqu8fJYqDDV6OrXTg,6
Pretty Girl From Chile,The Avett Brothers,Emotionalism,2ktxUTtc7FIpTH3vN70NZm,8
Elegy,Hey Marseilles,Elegy,0tJtoQa5e6eLJue9XnSXm9,1
Breaking the Yearlings,Shearwater,Animal Joy,5sxrQRUzFjelg0s30DbwIX,2
January Hymn,The Decemberists,The King Is Dead,3hd8GiXOy4KUTxVDVUDT5F,5
Below My Feet,Mumford & Sons,Babel (Deluxe Version),5uJpRBjDkTW8wtwDimhkdm,11
Sudden Elevation,Ólöf Arnalds,Sudden Elevation,6kbFqye45U2Z0aKI02hIlm,9
We Found Each Other In The Dark,City and Colour,Little Hell,6NfpehyeivDr4dZFQ04Yus,1
Dead & Gone,These United States,These United States,4pyoFwRfS0aQW6aECBtvQm,1
Lightning Bolt,Jake Bugg,Jake Bugg,4asvshPH5nL0mjjMCE9mzi,1
Magpie,Beth Orton,Sugaring Season [Deluxe Edition],4ZJVJEalpinpgX5cXYxHEx,1
Let It Be Me,Ray LaMontagne,Gossip In The Grain,2CbLBSlkvh2vR4JRLDRQso,2
Devil's Spoke,Laura Marling,I Speak Because I Can,7x98osNfh0aUookqE7MMQ1,1
Oh Boy!,She & Him,Rave On Buddy Holly,6BpXVKdWpGhI4FzHZrZdur,10
Salt in the Wound,Delta Spirit,History from Below,7K00GAFPHg1zbDHkhsKDuD,3
No One's Gonna Love You,Band of Horses,Cease To Begin,4a1jgSYZGMTR6Yp6IiSkbO,3
Burn,Ray LaMontagne,Trouble,2DQHgaOMVOs2OKLaksiMx9,5
Little Boxes,Pete Seeger,Headlines and Footnotes: A Collection of Topical Songs,1ggnnzHVxJFuTDIY78ZF1R,10
Wild World,Yusuf / Cat Stevens,On The Road To Find Out,3em9VwFFrTqSVZcsppSUeF,9
Honey Come Home,The Head and the Heart,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,6
The Funeral,Band of Horses,Everything All The Time,5uMfshtC2Jwqui0NUyUYIL,4
Troubles Will Be Gone,The Tallest Man On Earth,The Wild Hunt,6cnZbo9GSSTTafDnoXtSGL,3
Breezeblocks,alt-J,An Awesome Wave,6k3vC8nep1BfqAIJ81L6OL,4
Only Love,Ben Howard,Every Kingdom (Deluxe Version),2MxcbOGFi99D9JACvj74AH,5
Cecilia - Single Mix,Simon & Garfunkel,Greatest Hits,25irJgxRNTlyg8pUmWfDVG,14
Dark Undercoat,Emily Jane White,Dark Undercoat (Bonus Track Version),1sMtRxkXl3LBaW8gfoA8T8,3
Wind And Walls,The Tallest Man On Earth,There´s No Leaving Now,17pCKYQuyvox8TUzbbZaKL,7
A Candle's Fire,Beirut,The Rip Tide,7ri0EOAjJuuyawBbbEyU2L,1
Sun It Rises,Fleet Foxes,Fleet Foxes,6spTDEWQfiSsKjkR9NmuDX,1
Hard Sun,Eddie Vedder,Music For The Motion Picture Into The Wild,0AF0eSjB3atcLpJ7gQBop5,7
Sparrow,Audrey Assad,Heart,27j2a6AyCA7EUJyUnScU2j,4
Box of Stones,Benjamin Francis Leftwich,Last Smoke Before the Snowstorm (Deluxe Version),0z7kLjSMSUX2YGIo6aiYdp,2
Perth,Bon Iver,Bon Iver,7pTARJYCVO49nFXB1Mo5re,1
