Title,Artist,Count
Waiting For My Chance To Come,Noah And The Whale,6087086
Fiction in 4 Moves,Xylos,360795
To Whom It May Concern,The Civil Wars,43377764
All My Days,Alexi Murdoch,53665085
Ho Hey,The Lumineers,514514449
Song For Zula,Phosphorescent,64684807
You Are the Best Thing,Ray LaMontagne,73850117
Blue Skies,Noah And The Whale,15443447
Calamity Song,The Decemberists,5652261
Live And Die,The Avett Brothers,26758407
The Almond Tree,Hannah Peel,661063
Slow It Down,The Lumineers,107488991
Little Lion Man,Mumford & Sons,284923739
Home,The Falls,972431
Pictures,Benjamin Francis Leftwich,34749623
gun-shy,Grizzly Bear,7599733
Now That I Know,Devendra Banhart,3315367
Grown Ocean,Fleet Foxes,7917802
The Motherlode,The Staves,3823928
Country Dumb - Piano Version,Josh T. Pearson,274945
Main Street,Deer Tick,1663686
Wolf,First Aid Kit,46276101
Santa Fe,Beirut,33566363
Cats and Dogs,The Head and the Heart,13963961
Love Is All,The Tallest Man On Earth,55181198
Black Water,Timber Timbre,6704226
Fit Against the Country,Horse Feathers,2011660
Two Fingers,Jake Bugg,56402615
White Wave (2012 Version),Princess Music,472793
"Welcome Home, Son",Radical Face,121270705
Let You Break (feat. Julia Stone),William Fitzsimmons,2875988
You Turn Me on I'm a Radio - Live,Joni Mitchell,1097953
2B2,Lambchop,455819
Down in the Valley,The Head and the Heart,73496034
Suzanne,Leonard Cohen,58363174
Too Close,Alex Clare,136067389
Wagon Wheel,Old Crow Medicine Show,78932906
Wash.,Bon Iver,50713921
Rivers and Roads,The Head and the Heart,115186546
February Seven,The Avett Brothers,9509674
Volunteers,Megafaun,2765998
People Help the People,Birdy,132686048
Blindsided,Bon Iver,35765346
Tuck the Darkness In,Bowerbirds,7168076
Let Her Go,Passenger,1021485082
I've Got This Friend,The Civil Wars,14259616
Awake My Soul,Mumford & Sons,72426504
Who Knows Where The Time Goes?,Fairport Convention,7119293
Windows Are Rolled Down,Amos Lee,10774630
Mrs. Robinson,Simon & Garfunkel,230285934
Diamonds,Ben Howard,27791490
Wandering Me,Sui Zhen,319015
If I Had a Boat,James Vincent McMorrow,15933015
Naked As We Came,Iron & Wine,133002870
Casimir Pulaski Day,Sufjan Stevens,29501757
Whispers In The Dark,Mumford & Sons,48052890
Creature Fear,Bon Iver,30134079
Don't Carry It All,The Decemberists,16634864
Gone,Sea Of Bees,418382
White Winter Hymnal,Fleet Foxes,89671941
Anthem,Leonard Cohen,5592068
I Followed Fires,Matthew And The Atlas,3911358
Letting Go,Ben Sollee,2445491
Sigh No More,Mumford & Sons,46297324
The Dreamer,The Tallest Man On Earth,24333071
Holding Down the Laughter,Bad Books,534537
Winter Song,The Head and the Heart,32017134
La Grande,Laura Gibson,861454
Daughter's Lament,Carolina Chocolate Drops,2170552
Towers,Bon Iver,57951382
Quiet Houses,Fleet Foxes,9783501
Elephant Gun,Beirut,35490070
Into the Stream,The Tallest Man On Earth,4347545
Pillow Talk,Wild Child,12932003
Surfer King,A.A. Bondy,1279374
Helplessness Blues,Fleet Foxes,33691972
Hero,Family of the Year,209023050
Mountain Sound,Of Monsters and Men,123848504
"Minnesota, WI",Bon Iver,34998696
I Will Wait,Mumford & Sons,353484017
Venice,The Lighthouse And The Whaler,8659665
Promised Land,St. Augustine,190415
Time To Think,Sean Rowe,342580
Lost Coastlines,Okkervil River,9500854
Broken Crown,Mumford & Sons,45204402
It's All Okay,Julia Stone,4890172
Battery Kinzie,Fleet Foxes,10809260
Andre,Princeton,613393
Glastonbury,River City Extension,136388
Stubborn Love,The Lumineers,200821489
My Father's Father,The Civil Wars,8814894
The Park,Secret Cities,816424
The Ballad Of Love And Hate,The Avett Brothers,7914609
Vodka,Korpiklaani,15937382
Winter Winds,Mumford & Sons,67164478
Some Nights,fun.,350090673
Poison & Wine,The Civil Wars,102316783
Flowers in Your Hair,The Lumineers,134122429
This Girl,Punch Brothers,4661904
Timshel,Mumford & Sons,42769924
Kissing Gates,Crowns,582087
Youth,Daughter,194084609
Little Talks,Of Monsters and Men,433753023
New Slang,The Shins,155113628
Hold On to What You Believe,Mumford & Sons,16297977
This Land is Your Land,Woody Guthrie,6923052
Love Love Love,Of Monsters and Men,66296232
Landfill,Daughter,37639395
Wherever You Will Go,Charlene Soraia,79240644
Big Jet Plane,Angus & Julia Stone,145564958
Give Your Light Off,Woods,505218
Not With Haste,Mumford & Sons,29818408
Being A Mockingbird - Live,Bobby Long,759518
"Flightless Bird, American Mouth",Iron & Wine,98520867
The Wolves,Ben Howard,59541806
Love Thine Enemy,Cass McCombs,1057072
Rise,Eddie Vedder,34490119
Bridge over Troubled Water,Simon & Garfunkel,96586870
Skinny Love,Bon Iver,333468342
Fare Thee Well (Dink's Song),Oscar Isaac,27698661
5 Years Time,Noah And The Whale,90467277
Sounds Like Hallelujah,The Head and the Heart,14493127
Lover Of The Light,Mumford & Sons,76500610
My Silver Lining,First Aid Kit,115099839
Such Great Heights,Iron & Wine,52885533
On Trees And Birds And Fire,I Am Oak,11952701
Lucky Now,Ryan Adams,16591509
Screws Get Loose,Those Darlins,1107247
Like a Rolling Stone,Bob Dylan,153365929
Cough Syrup,Young the Giant,153860392
I'm Writing a Novel,Father John Misty,12463708
O' Be Joyful,Shovels & Rope,10483763
Janglin,Edward Sharpe & The Magnetic Zeros,28249847
Dirty Paws,Of Monsters and Men,183507279
The Boxer,Simon & Garfunkel,110179523
