Title,Artist,Count,Lyrics
Waiting For My Chance To Come,Noah And The Whale,6087086,"Well I'm just waiting for my chance to come Just a silhouette against the rising sun Watch the water, watch the sky Count the days as they go by I'm just waiting for my chance to come Well it takes real guts to be alone Going head to head with the great unknown But there is no sweeter sound, on the kings round I'm bound And just waiting for your chance to come 'Cause it's hard to feel like, you're worth something in this life When you're walking next to me, I can hear my body speak We're just waiting for a chance to come We're just waiting for a chance to come Your immortal smile is burned in me When I close my eyes its all see Among the canyons and the stars You're the guide inside my heart I'm just waiting for my chance to come And you're just looking for a way outta here Yeah, a way to see this old life all disappear Take a gamble on your heart, it will lead you through the dark You're just waiting for your chance to come 'Cause it's hard to feel like, you're worth something in this life When you're walking next to me, I can hear my body speak We're just waiting for a chance to come We're just waiting for a chance to come And no one's gonna get in my way Gonna figure it out for myself Yeah no one's gonna make me stay Gonna figure it out for myself 'Cause I don't need nothing I'm just waiting for my chance to come"
To Whom It May Concern,The Civil Wars,43377764,"Why are you so far from me? In my arms is where you are to be How long will you make me wait? I don't know how much more I can take  I missed you But I haven't met you Oh, but I want to How I do  Slowly counting down the days 'Til I finally know your name The way your hand feels round my waist The way you laugh, the way your kisses taste  I missed you But I haven't met you Oh, but I want to How I do  How I do  I've missed you But I haven't met you Oh, how I miss you But I haven't met you Oh, but I want to Oh, how I want to  Dear whoever you might be I'm still waiting patiently"
All My Days,Alexi Murdoch,53665085,"Well I have been searching all of my days All of my days Many a road, you know I've been walking on All of my days And I've been trying to find What's been in my mind As the days keep turning into night  Well I have been quietly standing in the shade All of my days Watch the sky breaking on the promise that we made All of this rain And I've been trying to find What's been in my mind As the days keep turning into night  Well many a night I found myself with no friends standing near All of my days I cried aloud I shook my hands What am I doing here All of these days For I look around me And my eyes confound me And it's just too bright As the days keep turning into night  Now I see clearly It's you I'm looking for All of my days Soon I'll smile I know I'll feel this loneliness no more All of my days For I look around me And it seems you've found me And it's coming into sight  As the days keep turning into night As the days keep turning into night And even breathing feels all right Yes, even breathing feels all right Now even breathing feels all right It's even breathing Feels all right"
Ho Hey,The Lumineers,514514449,"I been trying to do it right I been living a lonely life I been sleepin' here instead I been sleepin' in my bed I been sleepin' in my bed So show me family All the blood that I will bleed I don't know where I belong I don't know where I went wrong But I can write a song  I belong with you, you belong with me You're my sweetheart I belong with you, you belong with me You're my sweetheart  I don't think you're right for him Think of what it might have been if we Took a bus to Chinatown I'd be standin' on Canal, and Bowery And she'd be standin' next to me  I belong with you, you belong with me You're my sweetheart I belong with you, you belong with me You're my sweetheart  Love we need it now Let's hope for some Cause oh, we're bleedin' out  I belong with you, you belong with me You're my sweetheart I belong with you, you belong with me You're my sweetheart"
Song For Zula,Phosphorescent,64684807,"Some say love is a burning thing, that it makes a fiery ring Oh but I know love as a fading thing Just fickle as a feather in a stream See honey, I saw love, you see it came to me It put its face up to my face so I could see Yeah, then I saw love disfigure me Into something I am not recognizing You see the cage it called; I said come on in I will not open myself up this way again I lay my face to the soil, and all my teeth to the sand I will not lay like this for days now upon end You will not see me fall, or see me struggle to stand To be acknowledged by some touch from his gnarled hand You see the cage it called; I said come on in I will not open myself up this way again You see the moon is bright in that treetop night I see the shadows that we cast in the cold clean light Now my feet are gold, and my heart is white And we race out on the desert plains all night See honey, I am not some broken thing I do not lay here in the dark waiting for thee No my heart is gold and my feet are light And I am racing out on the desert plains all night Some say love is a burning thing, that it makes a fiery ring Oh but I know love as a caging thing Just a killer, come to call from some awful dream Ah and all you folks, you come to see You just stand there in the glass looking at me But my heart is wild and my bones are steam And I could kill you with my bare hands if I was free"
You Are the Best Thing,Ray LaMontagne,73850117,"Baby It's been a long day, baby Things ain't been going my way You know I need you here To clear my mind All the time And baby The way you move me, it's crazy It's like you see right through me and make it easier And believe me, you don't even have to try Oh, because  You are the best thing You are the best thing You are the best thing That ever happened to me  Baby We've come a long way Baby You know I hope and I pray that you believe me When I say this love will never fade away Oh, because  You are the best thing You are the best thing You are the best thing That ever happened to me  Both of us have know love before To come on up promising like the spring, to walk on out the door Our hearts are strong and our hearts are kind Let me tell you just exactly what is on my mind  You are the best thing You are the best thing You are the best thing That ever happened to me You are the best thing You are the best thing You are the best thing That ever happened to me Yeah, yeah Yeah, yeah, yeah Now, now, now, now"
Blue Skies,Noah And The Whale,15443447,"This is a song for anyone With a broken heart This is a song for anyone Who can't get out of bed  I'll do anything To be happy  Oh, 'cause blue skies are coming But I know that it's hard  This is the last song that I write While still in love with you This is the last song that I write While you're even on my mind  Cause it's time to leave Those feelings behind  Oh, 'cause blue skies are coming But I know that it's hard  I don't think that it's the end But I know we can't keep going I don't think that it's the end But I know we can't keep going  But blue skies are coming Oh, yeah, blue skies are coming Oh, blue skies are coming But I know that it's hard"
Calamity Song,The Decemberists,5652261,"(You and me in the war)  Had a dream You and me in the war of the end times And I believe California succumbed to the fault line We heaved relief As scores of innocents died  And the Andalusian tribes Setting the lea of Nebraska alight Till all that remains is the arms of the angels  Hetty Green Queen of supply-side bonhomie bone-drab You know what I mean On the road It's well advised that you follow your own bag In the year of the chewable Ambien tab  And the Panamanian child Stands at the Dowager Empress's side And all that remains is the arms of the angels And all that remains is the arms of the angels  Ah ooh Ah ooh, ooh, oh Ah ooh Ah ooh, ooh, oh  And you've receded into loam And they're picking at your bones We'll come home We'll come home  Quiet now Will we gather to conjure the rain down? Will we now Build a civilization below ground? And I'll be crowned the community kick-it-around  And the Andalusian tribes Setting the lea of Nebraska alight 'Til all that remains is the arms of the angels 'Til all that remains is the arms of the angels  Ah ooh Ah ooh, ooh, oh Ah ooh Ah ooh, ooh, oh Ah ooh Ah ooh, ooh, oh Ah ooh Ah ooh, ooh, oh"
Live And Die,The Avett Brothers,26758407,"All it'll take is just one moment And you can say goodbye to how we had it planned Fear like a habit, run like a rabbit out and away Through the screen door to the unknown  And I wanna love you and more I wanna find you and more Where do you reside? When you hide, how can I find you? Cause I wanna send you and more I wanna tempt you and more Can you tell that I am alive? Let me prove it  You and I, we're the same Live and die, we're the same Hear my voice, know my name You and I, we're the same  Left like a pharaoh, sing like a sparrow anyway Even if there is no land or love in sight We bloom like roses, lead like Moses out and away Through the bitter crowd to the daylight  And I wanna love you and more I wanna find you and more Can you tell that I am alive? Let me prove it to you  You and I, we're the same Live and die, we're the same You rejoice, I complain But you and I, we're the same Live and die, we're the You and I, we're the same Hear my voice, know my name You and I, we're the same  I wanna love you and more I wanna find you and more Where do you reside? When you hide, how can I find you? Cause I wanna send you and more I wanna tempt you and more Can you tell that I am alive? Let me prove it  You and I, we're the same Live and die, we're the same You rejoice, I complain But you and I, we're the same Live and die, we're the same You and I we're the same Hear my voice, know my name You and I, you and I"
The Almond Tree,Hannah Peel,661063,"Temperance the dear old deer Did not dare to bother anyone's ear With her uptight jaw and hair tightly pinned Who'd have thought the sin to be within? Bury me under the almond tree If anything should happen to me Late last june I heard a cry I ran to see my younger sister die The poisoned meat had cut deep inside I cast my revenge on temperance tonight Bury me under the almond tree If anything should happen to me Bury me under the almond tree If anything should happen to me I walked for months through the rain and pour No sign of temperance and her deathly paw I start to think did I dream it all up What revenge is this, its my life now that's been caught Bury me under the almond tree If anything should happen to me Bury me under the almond tree If anything should happen to me"
