Title,Artist,Album,ID,Number
Walk On Water,A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,0qr1Fvi1haEDWVbFtekZLb,6
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,STAY DANGEROUS,5IYvKd22yQkJRfoIStesbX,7
Ain't No Half-Steppin',Big Daddy Kane,Long Live The Kane,5STvD2F7IQ51f4Cd2y5r3z,6
Beautiful,Eminem,Relapse: Refill,7MZzYkbHL9Tk3O6WeD4Z0Z,17
Hey Young World,Slick Rick,The Great Adventures Of Slick Rick,71mmTJdWvpkzQNmVfFbRdN,10
TEMPTATION,Joey Bada$$,ALL-AMERIKKKAN BADA$$,6swV0WUnPygRIMgEKn6Ige,3
My Shit,A Boogie Wit da Hoodie,Artist,2OQEAqShAl6SodrGhmYZ4Z,3
Poppin' Them Thangs,G-Unit,Beg For Mercy,0BolFrIcCXXppUK50ETvgy,2
Patek Water,Future,SUPER SLIMEY,187UNqZ7MX3neMYkkevmdm,6
Jump,Kris Kross,Totally Krossed Out,5bGumbB29JBPlv4ECVURka,2
Again,Fetty Wap,Fetty Wap (Deluxe),2gKQvajkEEaDtkqJ8FJ4uw,7
Dang! (feat. Anderson .Paak),Mac Miller,The Divine Feminine,6f6tko6NWoH00cyFOl4VYQ,2
RAF,A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,0qr1Fvi1haEDWVbFtekZLb,16
Money and the Power,Kid Ink,My Own Lane (Expanded Edition),6qBNm8dkdowRUUrN7uwR11,16
sweet sweet,Travis Scott,Birds In The Trap Sing McKnight,42WVQWuf1teDysXiOupIZt,7
Nonstop,Drake,Scorpion,1ATL5GLyefJaxhQzSPVrLX,2
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",1NXM5lF9YB7a3f1e4R48oH,1
Liife,Desiigner,Liife,15rKI8AnSpyquuUrqagMOd,1
Get Right Witcha,Migos,Culture,2AvupjUeMnSffKEV05x222,5
Cleanin' Out My Closet,Eminem,The Eminem Show,2cWBwpqMsDJC1ZUwz813lo,4
Some Way,NAV,NAV,4JR29CNW14Zc4Z5vflxkoJ,10
How High (Remix),Method Man,Blackout!,5K9kD50P66neofCR8BoYxg,19
Yikes,Kanye West,ye,5EBGCvO6upi3GNknMVe9x9,2
Random,G-Eazy,When It's Dark Out,09Q3WwGYsQe5ognkvVkmCu,2
Shadowboxin',GZA,Liquid Swords,3k8xoyOXkGgZxUKgpmxz4P,8
