Title,Artist,Count
Walk On Water,A$AP Mob,43738657
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,238294070
Ain't No Half-Steppin',Big Daddy Kane,10761202
Beautiful,Eminem,156067463
Hey Young World,Slick Rick,3621567
TEMPTATION,Joey Bada$$,83040498
My Shit,A Boogie Wit da Hoodie,180529504
Poppin' Them Thangs,G-Unit,56923470
Patek Water,Future,73751039
Jump,Kris Kross,79851055
Again,Fetty Wap,246945059
Dang! (feat. Anderson .Paak),Mac Miller,152053185
RAF,A$AP Mob,116339350
Money and the Power,Kid Ink,75045282
sweet sweet,Travis Scott,53772355
Nonstop,Drake,559364193
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,332763770
Liife,Desiigner,50794620
Get Right Witcha,Migos,169881678
Cleanin' Out My Closet,Eminem,157208217
Some Way,NAV,188536898
How High (Remix),Method Man,6591680
Yikes,Kanye West,132568359
Random,G-Eazy,92381189
Shadowboxin',GZA,29360113
Real Thing (feat. Future),Tory Lanez,43713972
Uber Everywhere (feat. Travis Scott),MadeinTYO,33812347
Welcome To Jamrock,Damian Marley,107142412
the remedy for a broken heart (why am I so in love),XXXTENTACION,332147027
"So Fresh, So Clean",OutKast,78659758
Rigamortus,Kendrick Lamar,62951609
Nightmare,Offset,41115344
Do Not Disturb,Drake,174646281
The Flute Song,Russ,74761811
Antidote,Travis Scott,387070400
Love The Way You Lie,Eminem,560092580
Heartless,Kanye West,229516929
Mob Ties,Drake,206108799
"Shook Ones, Pt. II",Mobb Deep,170704916
No Limit,G-Eazy,434025919
Plain Jane,A$AP Ferg,411393391
SICKO MODE,Travis Scott,864158109
DUCKWORTH.,Kendrick Lamar,95374307
Ruff Ryders' Anthem,DMX,44599034
Lovers & Friends,Lil Jon,2647110
All About U,2Pac,58259496
Fight Night,Migos,181302900
Represent,Nas,28024527
Notorious Thugs - 2014 Remaster,The Notorious B.I.G.,102990460
Drifting,G-Eazy,95165577
On The Come Up (feat. Big Sean),Mike WiLL Made-It,17559845
Ill Mind of Hopsin 8,Hopsin,57968724
Blue Cheese,2 Chainz,38237052
Bring Da Ruckus,Wu-Tang Clan,35701683
100 Shots,Young Dolph,36632450
"WDYW (feat. Lil Uzi Vert, A$AP Ferg & Rich The Kid)",Carnage,57446724
Patty Cake,Kodak Black,121788509
Hip Hop,Mos Def,14171771
Free,6LACK,62995037
Photograph,J. Cole,82550940
Greatest,Eminem,123390483
I Fall Apart,Post Malone,917985656
Waves,Kanye West,229618889
No Rest,Lil Skies,72582232
It Wasn't Me,Shaggy,421999717
Flex Like Ouu,Lil Pump,123048346
Window Pain - Outro,J. Cole,54433599
Full Clip,Gang Starr,58546780
Rent Money,Future,59792375
Gettin' It,Too $hort,15917232
No Tears,Scarface,6270837
Wake Up in the Sky,Gucci Mane,398471175
Swang,Rae Sremmurd,353171394
Hood Took Me Under,Compton's Most Wanted,9142549
The Law (feat. Mac Miller & Rapsody),Ab-Soul,39183868
Drop It Like It's Hot,Snoop Dogg,256409085
Lifestyle,Rich Gang,147528683
Throw Sum Mo,Rae Sremmurd,161773401
65th & Ingleside,Chance the Rapper,28618578
Tiimmy Turner,Desiigner,257569382
Bartier Cardi (feat. 21 Savage),Cardi B,285499482
Black and Yellow,Wiz Khalifa,256434657
Paranoid (feat. B.o.B),Ty Dolla $ign,106576645
1-800-273-8255,Logic,863076314
Jumpman,Drake,590092315
1942,G-Eazy,140146020
Girls,Beastie Boys,23211280
Multi Millionaire (feat. Lil Uzi Vert),Lil Pump,28897237
It's Tricky,Run–D.M.C.,99832239
Hustle Hard Remix,Ace Hood,19738219
Adrenaline Rush,Twista,7838668
Don’t Matter To Me (with Michael Jackson),Drake,71079731
Studio,ScHoolboy Q,158500722
Once an Addict - Interlude,J. Cole,41180326
Move Bitch,Disturbing Tha Peace,42375861
Get Dripped (feat. Playboi Carti),Lil Yachty,65749973
X,Lil Uzi Vert,68420741
Playinwitme (feat. Kehlani),KYLE,289730684
Hit,NAV,55567569
Brass Monkey,Beastie Boys,42391619
Hustlin',Rick Ross,94541426
Patiently Waiting,50 Cent,86148755
Hit 'Em Up - Single Version,2Pac,115603082
Diamonds,A$AP Twelvyy,11882537
Free Lunch,Isaiah Rashad,46473670
Gospel,Rich Brian,120115773
Stuntin' Like My Daddy - Street,Birdman,26109476
You Ain't a Killer,Big Pun,11726462
Pull Up (feat. Lil Uzi Vert),Wiz Khalifa,77274441
NO BYSTANDERS,Travis Scott,118759972
What You Know,T.I.,46248694
Phone Jumpin,Dave East,24814288
Smoke A Nigga,Juicy J,59722395
Grillz - Dirty,Nelly,43179039
Put On,Jeezy,108726437
Instinct (feat. MadeinTYO),Roy Woods,77905051
Candy Paint,Post Malone,615883496
Wedding Crashers,Aminé,29256562
Don't Hurt Me,Mustard,77141192
Audi.,Smokepurpp,144847256
Gimme Some More,Busta Rhymes,30337049
Nothing Is Promised (with Rihanna),Mike WiLL Made-It,80333264
Express Yourself,N.W.A.,85389927
Kevin’s Heart,J. Cole,152685979
Yeah Right,Vince Staples,25426783
Hey Ma,Cam’ron,77909339
Dat $tick,Rich Brian,122229495
6 Foot 7 Foot,Lil Wayne,224196728
I Love It (& Lil Pump),Kanye West,431452609
Motiv8,J. Cole,99780600
New Freezer (feat. Kendrick Lamar),Rich The Kid,238377838
So High (feat. Ghost Loft),Wiz Khalifa,143081450
R.I.C.O. (feat. Drake),Meek Mill,217249092
U Can't Touch This,MC Hammer,152156444
Wicked,Future,139312490
Juicy - 2005 Remaster,The Notorious B.I.G.,335314407
No Type,Rae Sremmurd,354084185
They Like,Yo Gotti,33339937
Ambitionz Az A Ridah,2Pac,267939530
Real Friends,Kanye West,118791705
I Wanna Smoke,Gangsta Pat,2759673
Sky Walker (feat. Travis Scott),Miguel,293909637
Sacrifices,Drake,106117614
Loyal,Chris Brown,332860831
Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),Kid Cudi,279154434
Paul Revere,Beastie Boys,22059818
BedRock,Young Money,142669079
Bad and Boujee (feat. Lil Uzi Vert),Migos,609413036
Angels (feat. Saba),Chance the Rapper,138894376
Numb,21 Savage,109278717
BILLY,6ix9ine,203747542
Memory Lane (Sittin' in da Park),Nas,18996303
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1198377545
• TEMPTED,Jazz Cartier,20876370
Nowadays (feat. Landon Cube),Lil Skies,312359487
No Flag,London On Da Track,38550620
Juice,Yo Gotti,38337948
Drinks On Us,Mike WiLL Made-It,44689599
King of Everything,Wiz Khalifa,72687031
Wins & Losses,Meek Mill,29137892
Ms. Jackson,OutKast,300043524
On My Block,Scarface,18837167
Sauce It Up,Lil Uzi Vert,202960796
Hop Out,A$AP Twelvyy,10309668
Good Times,Styles P,25217172
Lucid Dreams,Juice WRLD,964357412
FLIP THE SWITCH (feat. Drake),Quavo,76325063
Low Life,Future,474366577
Triumph (feat. Cappadonna),Wu-Tang Clan,10081113
"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",Chris Brown,155051451
No Mediocre,T.I.,102384753
What's the Use?,Mac Miller,67290607
Nasty Girl - Explicit 'New Edit',Nelly,54559827
I Like Tuh,Carnage,107831930
Rosa Parks,OutKast,40955971
WIFI LIT,Future,38087771
Put It On,Big L,32451589
Canal St.,A$AP Rocky,101345865
Smooth Operator,Big Daddy Kane,7301100
The Creator,Pete Rock & C.L. Smooth,7271858
ATM,J. Cole,123359653
X Gon' Give It To Ya,DMX,314673804
Don't Sweat The Technique,Eric B. & Rakim,25257909
I'm Sprung - German Remix Featuring Kool Savas,T-Pain,61077718
Stay Woke (feat. Miguel),Meek Mill,21108187
Good Life,Kanye West,135539588
Rock Bottom,Eminem,27858921
Frontin' (feat. Jay-Z) - Club Mix,Pharrell Williams,50021247
Survival Tactics,Styles Of Beyond,2151388
Locked Up,Akon,44847252
Whatever You Like,T.I.,209616428
BRACKETS,J. Cole,56224573
Clout,Ty Dolla $ign,65957173
No Complaints,Metro Boomin,161585365
RGF Island,Fetty Wap,108057136
Me You,Russ,111158338
All Girls Are The Same,Juice WRLD,380223226
Symphony 2000,EPMD,4374354
Up Down (Do This All Day),T-Pain,108507670
The Way You Move (feat. Sleepy Brown),OutKast,66553237
Glow Like Dat,Rich Brian,85350349
Blue Pill,Metro Boomin,16299692
When I B On Tha Mic,Rakim,28532105
Chum,Earl Sweatshirt,65743975
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),Pras,81798932
Signs,Drake,272075490
Liquid Swords,GZA,13515653
I Guess I'll Smoke (feat. Dizzy Wright & Layzie Bone),Futuristic,30121428
Let's Get High,Dr. Dre,28277388
Mirror,Lil Wayne,215253008
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,541285424
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,591999773
Black Beatles,Rae Sremmurd,617589387
Down for You,Russ,26062965
Switch Lanes,Tyga,80829312
745,Vince Staples,27562368
FEEL.,Kendrick Lamar,108070712
Relationship (feat. Future),Young Thug,227064719
Get By,Talib Kweli,28038551
High For Hours,J. Cole,39263755
Flashing Lights,Kanye West,128283187
Money Made Me Do It,Post Malone,137416304
Daddy's Birthday,Young Thug,23319564
PASS OUT (feat. 21 Savage),Quavo,50127152
Redbone,Childish Gambino,673179838
Wasted (feat. Lil Uzi Vert),Juice WRLD,200725263
Rack City,Tyga,192508030
Everyday,Logic,328390879
Dead Or Alive,Jazz Cartier,41697111
Guala,G-Eazy,36724681
Crumblin' Erb,OutKast,7083983
"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)",A$AP Ferg,227132423
Prayers Up (feat. Travis Scott & A-Trak),Calvin Harris,35977395
Extra Luv,Future,47698637
WAKE UP,Travis Scott,142254514
Party Up,DMX,124846636
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,222987633
Party We Will Throw Now!,Warren G,41931345
No Option,Post Malone,235534448
Back That Azz Up,Juvenile,71924819
wokeuplikethis*,Playboi Carti,239784809
Super Bass,Nicki Minaj,264417242
XO Tour Llif3,Lil Uzi Vert,1148354013
F With U (feat. Ty Dolla $ign),Kid Ink,57783110
44 Bars,Logic,87650284
Good Drank,2 Chainz,124406061
Lifesaver,Guru,5141661
Regulate,Warren G,204875757
Selfish,PnB Rock,213760545
Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,209166172
That's That Shit,Snoop Dogg,24745469
OMG,Camila Cabello,165207220
Fruit Punch,Kaiydo,26949890
All Eyez On Me,2Pac,83805935
1999 WILDFIRE,BROCKHAMPTON,51309727
HeadBand (feat. 2 Chainz),B.o.B,199407870
Tomorrow Til Infinity (feat. Gunna),Young Thug,24899750
New Patek,Lil Uzi Vert,159502971
Roses,OutKast,1049081
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,427303256
Too Quick,MadeinTYO,35155604
San Francisco Knights,People Under The Stairs,10465767
Ole School Shit,Eazy-E,9891704
Lean Wit Me,Juice WRLD,262126956
Chun-Li,Nicki Minaj,183655244
Ghetto Gospel,2Pac,125391319
Hard Knock Life (Ghetto Anthem),JAY Z,98278594
Suga Suga,Baby Bash,168747288
Street Talkin',Slick Rick,13528173
Bow Down,Westside Connection,28499805
Laffy Taffy,D4L,42205090
Liquor Locker,Vic Mensa,75913180
Jump,Lupe Fiasco,37522151
All Eyez (feat. Jeremih) [Bonus Track],The Game,89574046
Hate Me Now (feat. Puff Daddy),Nas,42496165
Mind Playing Tricks on Me,Geto Boys,45934569
To the Max,DJ Khaled,37684730
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,281654441
NEVER,JID,55255754
Fake Love,Drake,686249736
Dip (feat. Nicki Minaj),Tyga,154409541
100 (feat. Drake),The Game,105749574
Rake It Up,Yo Gotti,233490052
Just Another Day,Too $hort,4665673
Hard Work Pays Off,Future,71821241
One Time Comin',YG,38015788
Trap Paris (feat. Quavo & Ty Dolla $ign),Machine Gun Kelly,71752696
Chief Rocka,Lords Of The Underground,23906299
ULT,Denzel Curry,29106780
"U.O.E.N.O. (feat. Rick Ross, Future)",Rocko,46346746
Give Up the Goods (Just Step) (feat. Big Noyd),Mobb Deep,16658895
Shoota (feat. Lil Uzi Vert),Playboi Carti,185134189
Dance with the Devil,Gucci Mane,31110751
Da Rockwilder,Method Man,70190501
Fingers Blue (feat. Travis Scott),Smokepurpp,34523190
No Frauds,Nicki Minaj,113823053
beibs in the trap,Travis Scott,242058276
Comfortable,K CAMP,102707118
Transportin',Kodak Black,182099555
Calm Down,G-Eazy,158790710
Forbidden Fruit,J. Cole,74012442
"East Coast REMIX (feat. Busta Rhymes, A$AP Rocky, Dave East, French Montana, Rick Ross & Snoop Dogg)",A$AP Ferg,26726137
Ooh Yea (feat. Ty Dolla $ign),Fabolous,20070876
B.M.F. (Blowin' Money Fast),Rick Ross,19137539
Da Joint,EPMD,29387359
REDMERCEDES,Aminé,59828775
Shooters,Tory Lanez,98550446
Switch,6LACK,78042958
Na Na,Trey Songz,165613513
All Around The World (feat. Desiigner),Mura Masa,28607763
La Raza,Kid Frost,6643704
Just a Friend,Biz Markie,68961386
Goldie,A$AP Rocky,140673366
Stay Fly - Explicit Album Version,Three 6 Mafia,36580033
Ned Flanders (feat. A$AP Ferg),MadeinTYO,98470174
FaceTime,21 Savage,47305874
Work Out,J. Cole,219616287
That Far,6LACK,42380605
Psycho (feat. Ty Dolla $ign),Post Malone,957776020
Iced Out (feat. 2 Chainz),Lil Pump,59093804
Make Me Proud,Drake,144433269
Noticed,Lil Mosey,313766723
pick up the phone,Young Thug,385664449
CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,14470396
"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",Snoop Dogg,41607444
Young Dumb & Broke REMIX,Khalid,41239827
All We Got (feat. Kanye West & Chicago Children's Choir),Chance the Rapper,130580339
Without Me,Eminem,526000445
"Gucci On My (feat. 21 Savage, YG & Migos)",Mike WiLL Made-It,84082465
California Love - Original Version,2Pac,31100095
Hello - Feat. Dr. Dre And MC Ren,Ice Cube,25236688
"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)",Raekwon,25188513
Shortie Like Mine,Bow Wow,51007115
There's Alot Going On,Vic Mensa,16958948
Mask Off - Remix,Future,140986714
Curve (feat. The Weeknd),Gucci Mane,117482074
JAPAN,Famous Dex,297235461
Venom - Music From The Motion Picture,Eminem,225114769
"UP! (feat. Chris Brown, Pleasure P) (R&B Remix Mix)",J. Valentine,18261157
YOSEMITE,Travis Scott,276372269
Boredom,"Tyler, The Creator",110035653
Poetic Justice,Kendrick Lamar,212901043
Da Graveyard,Big L,7976936
Lockjaw (feat. Kodak Black),French Montana,122364530
Better Now,Post Malone,1073389820
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,406219106
The Motto,Drake,255882075
No Flockin,Kodak Black,188986005
