Title,Artist,Count,Lyrics
Walk On Water,A$AP Mob,43738657,"I just robbed a lil' (What? Ooh) I just robbed a lil' nigga and took that nigga bitch I just robbed a lil' nigga and took that nigga bitch  I just robbed a lil' nigga and took that nigga bitch I just robbed a lil' nigga and took that nigga bitch I just robbed a lil' nigga and took that nigga bitch I just robbed a lil' nigga and took that nigga bitch  We can touch the water, bitch I walk Walk on top of water, slime We can touch the water, bitch I walk Walk on top of water, slime  Fade on me like I'm Boosie, bitch she popping her coochie My girl, she look like a stripper Codeine in a Kool-Aid pitcher Put diamonds on my sister Put Prada on my mama Eating Benihana's, filled up off the lobster Pasta like a mobster, reds got me poppin' (Yeah) On a tropic island (Yeah), TMZ watching  I'm a money man, I got her running away Come up off that pussy, make some money today Fetti provolone, she fell in love with the guap Leave your man at home, and I'ma make you a star Take you round the world, you can't pronounce where we are I just robbed a little nigga, and I'm takin' his broad  I just robbed a lil' nigga and took that nigga bitch I just robbed a lil' nigga and took that nigga bitch I just robbed a lil' nigga and took that nigga bitch I just robbed a lil' nigga and took that nigga bitch  We can touch the water, bitch I walk Walk on top of water, slime We can touch the water, bitch I walk Walk on top of water We can touch the water, bitch I walk Walk on top of water, slime We can touch the water (Yah) bitch I walk (Wah, yah) Walk on top of water (Bitch I, yeah) slime (Bitch I, ay)  Big bang, Nasty in this hoe, man I might fuck around and fuck a little nigga's hoe, man You know how the game go, you know that shit for sure, man Fuck yo bitch one night, she blow the next, they just like propane Spend a lil' shopping money on a lil' Dolce Prada and that Gucci plus Chanel, she love the clothes game Told her if she fuck me right, she could get what she wanted It ain't nothin' to me, I just call up my accountant Guap  You see me on water, walking on it like Jesus Margiela on my collar, remember they used to tease us I need Obama daughter, yeah, I really need her Hundred racks froze in water, I bought that new freezer Jump with the Mac in the back of the Jeep Sweep them niggas clean (Roo!) Hit em with a magazine Make your sneakers lean (Roo!) Cadillac diamond the back of that old school When I'm with my team (hah!) Don't wanna fuck with the team Don't do that, know what I mean? (Alright!) She wanna fuck with a king, diamonds all bling Hood Pope doing his thing She wanna ride with the team, by any means Taking the bitch of your dreams Now that bitch my little queen, got her from Queens Might come in raw, with a G Gucci and Prada on her feet, designer her sheets A dollar sign A P  I just robbed a lil' nigga and took that nigga bitch I just robbed a lil' nigga and took that nigga bitch I just robbed a lil' nigga and took that nigga bitch I just robbed a lil' nigga and took that nigga bitch  We can touch the water, bitch I walk Walk on top of water, slime We can touch the water, bitch I walk Walk on top of water We can touch the water, bitch I walk Walk on top of water, slime We can touch the water, bitch I walk Walk on top of water, slime"
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,238294070,"My bitch drive a all white Range Couldn't hit it if you niggas had aim Lames can't call and you a lame You had it then you lost it, Hall of Shame I can buy a Bentley, don't talk to me For a show 150, don't talk to me You ain't never helped your mans, don't talk to me You just follow all the trends, don't talk to me Ayy, I set the bar, I'm the fuckin' bar Look in the sky, I'm a fuckin' star I don't fall in love 'cause I be lovin' hard Do everything like my shirt, extra large I don't care how I crash a Ghost Got two cribs in two states, I be doing the most I got white-folks money that I won't blow And if you ask why, 'cause the white folks don't  Big bank take lil' bank, bank Big bank take lil' bank, bank Type of money you gon' need a safe Type of money you gon' need a bank From the hood, this type of money make you stay awake Type of money, she gon' let you put it in her face Big bank take lil' bank, bank (yeahhhhh) Big bank take lil' bank, bank  Everything proper, no propaganda Tropicana Goyard bandana Big sack, a lotta hoes like Santa Threw a birthday party in a Phantom Big shit like a dinosaur did it And you know Tity shinin' like acrylic Yeah I sold dope, I had cornrows I can you see niggas hatin' with the door closed Now I'm lookin' for a glove with the sparkle on it And my CBD got chocolate on it Big bank take small-ass shit Bank account on some tall-ass shit Attitude on some 'Fuck you too' Bankroll on 'What it do, boo?' Meet me at the room at five And if I ain't did it yet, I'll try  Big bank take lil' bank, bank Big bank take lil' bank, bank Type of money you gon' need a safe Type of money you gon' need a bank From the hood, it's type of money make you stay awake Type of money she gon' let you put it in her face Big bank take lil' bank, bank Big bank take lil' bank, bank  She said, 'Whatchu' gon do if I leave?' I said, 'Bitch, I'ma do me' B.I.G., bitch everything zoomed in (zoom) Big bag on me lookin' like I'm movin' in (God!) Got my foot in the door and we still here (here) I'm a first generation millionaire (here) I broke the curse in my family not having shit I'm passionate like girls that's after more than just cash and dick Feed me to the wolves, now I lead the pack and shit You boys all cap, I'm more Colin Kaepernick I'm rare as affordable health care (oh God) Or going to wealth from welfare (Goddamn) I turn my W's to M's, yeah, I flip those I might buy her red bottoms with the crypto Three coins, that'll pay ya whole semester (swerve, swerve) But you gotta ride it better than a Tesla  Big bank take lil' bank, bank (lil' bitch) Big bank take lil' bank, bank Type of money you gon' need a safe Type of money you gon' need a bank From the hood, it's type of money make you stay awake Type of money she gon' let you put it in her face Big bank take lil' bank, bank Big bank take lil' bank, bank  Uh-oh! Back again Back to back, Maybach, stack the Ms Told em' I met Slim Shady, bagged a Em Once he go black, he'll be back again Tell them hoes that it's crunch time, abdomen Yes, I cop mad Chanel and mad Given' She did it again, imagine them 'Bout to make these bum bitches mad again Uh-oh! Back to them I lead the pack so my back's to them Yup, the queen's back, what's happenin'? Re-run, 'bout to make these bitches rap again Uh, diamond chains on my ankle Young Money in the cut like a shank, though Tell T.I.P. rubber bands in my bankroll Show my ass like a stank ho  Big bank take lil' bank Big bank take lil' bank Type of money you gon' need a safe Type of money you gon' need a bank From the hood, it's type of money make you stay awake Type of money she gon' let you put it in her face Big bank take lil' bank, bank Big bank take lil' bank, bank"
Ain't No Half-Steppin',Big Daddy Kane,10761202,"Mmm, mmm, mmm Aw Yea, I'm with this I'm just gonna sit here laid back to this nice mellow beat, you know And drop some smooth lyrics cause '88 Time to set it straight, know what I'm saying? And ain't no half stepping Word, I'm ready  Rappers stepping to me, they want to get some But I'm the Kane, so yo, you know the outcome Another victory, they can't get with me So pick a B.C. date cause you are history I'm the authentic poet to get lyrical For you to beat me, it's gonna take a miracle And stepping to me, yo that's the wrong move So what you on, Hobbs, dope or dog food? Competition, I just devour Like a pit bull against a Chihuahua Cause when it comes to being dope, hot damn I got it good, now let me tell you who I am The B-I-G D-A-double-D-Y K-A-N-E Dramatic, Asiatic, not like many I'm different, so don't compare me to another Cause they can't hang, word to the mother At least not with the principal in this pedigree So when I roll on you rappers, you better be Ready to die because you're petty You're just a butter knife, I'm a machete That's made by Ginsu, wait until when you Try to front, so I can chop into Your body, just because you try to be basing Friday the 13th, I'ma play Jason No type of joke, gag, game, puzzle or riddle The name is Big Daddy, yes, Bignot little So define it, here's your walking papers, sign it And take a walk as the Kane start to talk, cause  Ain't no half-steppin' I'm the Big Daddy Kane Ain't no half-steppin' I'm the Big Daddy Kane Ain't no half-steppin' I'm the Big Daddy Kane 'Down the road'  My rhymes are so dope and the rappers be hoping To sound like me, so soon I'll have to open A school of emceeing, for those who want to be in My field in court, then again on second thought To have emcees coming out sounding so similar It's quite confusing for you to remember The originator, and boy do I hate a Perpetrator, but I'm much greater The best, oh yes, I guess suggest the rest should fess Don't mess or test your highness Unless you just address with best finesse And bless the paragraph I manifest Rap prime minister, some say sinister Non-stopping the groove, until when it's the Climax, and I max, relax and chill Have a break from a take of me acting ill Brain cells are lit, ideas start to hit Next the formation of words that fit At the table I sit, making it legit And when my pen hits the paper, ah shit I stop and stand strong over emcees And devour with the power of Hercules Or Samson, but I go further the length Cause you could scalp my Cameo and I'll still have strength And no, that's not a myth, and if you try to riff Or get with, the man with the given gift of gab Your vocab, I'll only ignore Be sleeping on your rhymes till I start to snore You can't awake me, or even make me Fear you, son, cause you can't do me none So, think about it if you're trying to go When you want to step to me, I think you should know that  Ain't no half-steppin' I'm the Big Daddy Kane Ain't no half-steppin' I'm the Big Daddy Kane Ain't no half-steppin' I'm the Big Daddy Kane 'Down the road'  I appear right here and scare and dare A mere musketeer that would dare to compare Put him in the rear, back there where he can't see clear Get a beer, idea or near stare, yeah So on to be want to be competition Trying to step to me, must be on a mission Up on the stage is where I'ma get you at You think I'm losing? Pfft, picture that  Ain't no half-steppin' I'm the Big Daddy Kane Ain't no half-steppin' I'm the Big Daddy Kane Ain't no half-steppin' I'm the Big Daddy Kane Mister Cee, step to me  The name is Big Daddy, you know, as in, your father So when you hear a def rhyme, believe that I'm the author I grab the mic and make emcees evaporate The party people say, 'Damn, that rapper's great' The creator, conductor of poetry Et cetera, et cetera, it ain't easy being me I speak clearly so you can understand Put words together like Letter Man Now that's dictation, proceeding to my innovation Not like the other emcees that are an imitation Or an animation, a cartoon to me But when I'm finished, I'm sure that you are soon to see Reality, my secret technique Because I always speak with mentality I put my title in your face, dare you to base And if you try and come get it, yo I'ma show you who's with it So if you know like I know, instead of messing around Play like Roy Rogers and slow down Just give yourself a break, or someone else will take Your title, namely me, cause I'm homicidal That means murder, cause I'm about to hurt a- Nother emcee, that try to get with me I'll just break him and bake him and rake him And take him and mold him and make him Hold up the peace sign, as salaam alaikum!"
Beautiful,Eminem,156067463,"Lately I've been hard to reach I've been too long on my own Everybody has a private world Where they can be alone Are you calling me? Are you trying to get through? Are you reaching out for me? Then I'm reaching out for you  I'm just so fuckin' depressed I just can't seem to get out this slump If I could just get over this hump But I need somethin' to pull me out this dump I took my bruises, took my lumps Fell down and I got right back up But I need that spark to get psyched back up In order for me to pick the mic back up I don't know how or why or when I ended up in this position I'm in I'm starting to feel distant again So I decided just to pick this pen Up and try to make an attempt to vent But I just can't admit Or come to grips with the fact that I may be done with rap I need a new outlet And I know some shit's so hard to swallow But I just can't sit back and wallow In my own sorrow, but I know one fact: I'll be one tough act to follow One tough act to follow, I'll be one tough act to follow Here today, gone tomorrow But you'd have to walk a thousand miles  In my shoes, just to see What it's like to be me I'll be you, let's trade shoes Just to see what it'd be like to Feel your pain, you feel mine Go inside each other's minds Just to see what we find Look at shit through each other's eyes  But don't let 'em say you ain't beautiful They can all get fucked, just stay true to you Don't let 'em say you ain't beautiful They can all get fucked, just stay true to you  I think I'm starting to lose my sense of humor Everything's so tense and gloom I almost feel like I gotta check the temperature Of the room, just as soon as I walk in, it's like all eyes on me So I try to avoid any eye contact Cause if I do that, then it opens a door For conversation like I want that I'm not lookin' for extra attention I just wanna be just like you Blend in with the rest of the room Maybe just point me to the closest restroom I don't need no fuckin' man servant Tryna follow me around and wipe my ass Laugh at every single joke I crack And half of 'em ain't even funny, like, 'Ha! Marshall, you're so funny, man You should be a comedian, goddamn!' Unfortunately I am I just hide behind the tears of a clown So why don't you all sit down? Listen to the tale I'm about to tell Hell, we don't gotta trade our shoes And you ain't gotta walk no thousand miles  In my shoes, just to see What it's like to be me I'll be you, let's trade shoes Just to see what it'd be like to Feel your pain, you feel mine Go inside each other's minds Just to see what we find Look at shit through each other's eyes  But don't let 'em say you ain't beautiful They can all get fucked, just stay true to you Don't let 'em say you ain't beautiful They can all get fucked, just stay true to you  Nobody asked for life to deal us With these bullshit hands we're dealt We gotta take these cards ourselves And flip 'em, don't expect no help Now, I could've either just sat on my ass and pissed and moaned Or take this situation in which I'm placed in And get up and get my own I was never the type of kid to wait by the door and pack his bags And sat on the porch and hoped and prayed For a dad to show up who never did I just wanted to fit in in every single place, every school I went I dreamed of being that cool kid Even if it meant acting stupid Aunt Edna always told me: 'Keep making that face, it'll get stuck like that.' Meanwhile, I'm just standin' there Holdin' my tongue, tryin' to talk like this 'Til I stuck my tongue on that frozen stop sign pole at 8 years old I learned my lesson then Cause I wasn't tryin' to impress my friends no mo' But I already told you my whole life story Not just based on my description Cause where you see it from where you're sittin' It's probably 110% different I guess we would have to walk a mile in each other's shoes at least What size you wear? I wear 10's Let's see if you can fit your feet  In my shoes, just to see What it's like to be me I'll be you, let's trade shoes Just to see what it'd be like to Feel your pain, you feel mine Go inside each other's minds Just to see what we find Look at shit through each other's eyes  But don't let 'em say you ain't beautiful They can all get fucked, just stay true to you Don't let 'em say you ain't beautiful They can all get fucked, just stay true to you  Lately I've been hard to reach I've been too long on my own Everybody has a private world Where they can be alone Are you calling me? Are you trying to get through? Are you reaching out for me? Then I'm reaching out for you  Yeah, to my babies: stay strong Daddy'll be home soon And to the rest of the world: God gave you them shoes to fit you So put 'em on and wear 'em, be yourself, man Be proud of who you are, even if it sounds corny Never let no one tell you you ain't beautiful"
Hey Young World,Slick Rick,3621567,"Guess who's back Guess who's back Guess who's back  Hey young world... the world is yours Hey young world... the world is yours Young world young world... the world is yours Young world  This rap here... it may cause concern it's Broad and deep... why don't you listen and learn Love, peace, happiness... that once was strong But due to society... even that's turned wrong Times have changed... ay it's cool to look bummy And be a dumb dummy and disrespect your mummy Have you forgotten... who put you on this Earth? Who brought you up right... and who loved you since your birth? Reward is a brainwashed kid going wild Young little girls already have a child Bad company... hey, now you've been framed Your parents are hurting... hurting and ashamed You're ruining yourself... and your mommy can't cope Hey, little kids don't follow these dopes Here's a rule for the non fool.. your life don't drool Don't be a fool like those that don't go to school Get ahead... and accomplish things You'll see the wonder and the joy life brings Don't admire thieves 'cause... hey, they don't admire you Their time's limited, hardrocks' too So listen, be strong, scream whoopee-doo Go for yours, 'cause dreams come true And you'll make your mommy proud... so proud of you too And this is a message... that the Ruler Rick threw And it's true  You know, you know what, you know what, you know what? We like to party, like to party You know, you know what, you know what? We like to party (Hey young world, the world is yours) (Hey young world) You know, you know what, you know what, you know what? We like to party, like to party 'Yo peep this'  Hey Mr. Bigshot... hey, don't you look fly? But you don't have a dollar... ohhhh, my my my You've been fightin again and, you forgot why Hey kid, walk straight, master your high Why? Because you make your family cry And all jokes aside, are you in good health? Hey little boy... now have you really checked yourself? You're a disgust, you know someone that I can't trust, you'd Steal mom's welfare... and you'd run and buy some dust, and Plus, I must say... big shot, you're not Your friends are talking and I'm hearing that your girls are what? You didn't know? Go steal and rob And while you're at it... go get a suit for a job You see you're actin like this urge is demanding C'mon, wake up... have some understanding Society's a weak excuse for a man It's time for the brothers... it's time trying to take the stand Believe it or not, the Lord still shines on you, he Guides you... and he watched you as you grew, plus Past the age of... a little child, that's true But folks your age don't act like you do, so So be mature... and put the point to a halt And if you're over eighteen... I wish you'd act like an adult Don't live in a world... of hate, hate, hate Pull yourself together... and get yourself straight Men don't steal... hey, most don't borrow And if you smoke crack... your kids'll smoke crack tomorrow So be more mature... and kids do your chores Make your own money... hey, be proud that's yours You know why, 'cause that's a man... that's brains, no spite Stayin out of trouble... when it comes in sight And a man never loses a fight... in God's sight 'Cause righteous laws are overdue And this is a message that the Ruler Rick threw And it's true  You know, you know what, you know what, you know what? We like to party, like to party You know, you know what, you know what, you know what? We like to party, like to party (Hey young world, the world is yours) (Hey young world)  'Yo peep this... MC... Ricky... D... The Grand Grand Grand Wizzard... And his and his partner... And his and his and his And his and his and his partner... Say what? La-Di! Da-Di! La-Di! Da-Di! La-Di! Da-Di! La-Di! Da-Di! La-Di! Da-Di! La-Di! Da-Di! La-Di-Da-Di...'"
TEMPTATION,Joey Bada$$,83040498,"I come here today to talk about how I feel And I feel like that we are treated differently than other people And I don't like how were treated Just because of our color doesn't mean anything to me  This just the way I feel Mind's been racing so long, yeah Its just no way to deal With these problems alone  And I really can't take it no more I've been fighting temptations, my Lord I'm young and I'm restless (And I really can't help it) I never felt selfish before I've been living so reckless, I know Tell me Lord, can you help me? (I said Lord, can you help me?)  Now everybody got problems, yeah But wouldn't know what way to solve em I really came up from the bottom Strugglin, my momma on her last dollar Hustlin' and Ive been puttin' in these hours The government been tryna take away what's ours It's really all about the money and the power I just wanna see my people empowered Uh, uh, tell me how we gon shape this vision Complainin' all day, but in the same condition If you wanna make change, it's gon' take commitment Some people enslaved by they religion Can't emancipate them from the mental prisons What I seen through optics transform to wisdom Watch me use my prophets, get 'em all to listen I've been on a mission, ah  And I really can't take it no more I've been fighting temptations, my Lord I'm making them restless (And I really can't help it) I never felt selfish before I've been living so reckless, I know Tell me Lord, can you help me? (I said Lord, can you help me?)  Now everybody got vices, yeah But wouldn't know what good advice is Until they leave 'em lifeless Another mama cryin', it's another crisis Lord knows we just tryna live righteous Are you willin' just to make the sacrifices? I know we can't continue livin' like this And I'll never sell my soul 'cause that's priceless, uh, uh Tell me how we gon' make a livin' Hustle on the block, who gon' save the children? Man it's all a plot and I'm just revealin' The media just tryna make a villain I just take the pain and a paint a picture Voices in my head, I hear the whispers When I feel this way, inhale the swisher Or I sip the liquor, ah  And I really can't take it no more I've been fighting temptations, my Lord I'm making them restless (And I really can't help it) I never felt selfish before I've been living so reckless, I know Tell me Lord, can you help me? (I said Lord, can you help me?)  This just the way I feel Mind's been racing so long, yeah It's just no way to deal With these problems alone  And I really can't take it no more I've been fighting temptations, my Lord I'm making them restless (I said, Lord can you help me?) I never felt selfish before I've been living so reckless, I know Tell me Lord, can you help me? (I said Lord, can you help me?)  Do not stop We are black people and we shouldn't have to feel like this We shouldn't have to protest because you are treating us wrong We do this because we need to and we have rights"
My Shit,A Boogie Wit da Hoodie,180529504,"In my bag now, In my bag now (Bag now) What the fuck is that sound? (That sound) What the fuck is that sound? (That sound)  Brought the MAC out, niggas sat down I got shit I never had now, I could brag now Got my bitch a Louis bag now, she could brag now Bought my bitch a Birkin bag now, she a brat now Now I'm sittin' in the club in a different bag now Baby when I pick it up you gon put that ass down Tell 'em you don't give a fuck, baby spin that ass 'round Tell the DJ turn it up, what the fuck is that sound? A Boogie Wit Da Hoodie and it's always foreign Yeah I know she like my style, them other niggas borin' When I pull up it go skrrt skrrt, that's a foreign When I pull up on a red light, they don't want it Yeah I came up from the mud and my baby know that Introduced her to my plug, now she think she all that When I first hit her up, no she never wrote back Then I saw her at the club so I got up on that  Now every time they play this song she say 'This is my shit' (This is my shit) See the flick of my wrist (Flick of my wrist) And I know she know wassup, baby this is my shit (This is my shit) See the flick of my wrist (Flick of my wrist)  They know that's my bitch, that's a fact and she stuck with me When you in my section, fill it up when my cup empty I can't fuck with rats, that's a fact, that's a dub nigga All about my F, can't put water over blood nigga Trust me, it get ugly If I wasn't gettin' money would you still want me? If I told you I was broke would you start actin' funny? This is all I ever wanted, you can't take it from me  Now every time they play this song, she say 'This is my shit' (This is my shit) See the flick of my wrist (Flick of my wrist) And I know she know wassup baby this is my shit (This is my shit) See the flick of my wrist (Flick of my wrist)"
Poppin' Them Thangs,G-Unit,56923470,"Every hood we go through All the gangsters around know my whole crew (Nigga what?) We hold it down like we 'sposed to (Haha) Nigga you can front if you want, we be poppin' them thangs (Yeah) Every hood we go through All the gangsters around know my whole crew (Nigga what?) We hold it down like we 'sposed to (Haha) Nigga you can front if you want, we be poppin' them thangs  After the VMA's my baby momma cussed my ass out I kicked her ass, we back friends like Puffy and Steve Stoute Cut the grass around my clique so I could see these snakes You see 'em back in the hood, it's cause I see they're fake I preach a sermon 'bout the paper like I'm Creflo Dollar I pop you punk niggas like I pop my collar I'm confused, I like Megan, Monica and Mya Missy's freaky and Brandy's shy, uh Now take a look at how my lifestyle changed up I'm on now, God damnit, I done came up Now you can find me with the finest hoes Choosin' which whip to drive by what match my clothes I got a fetish for the stones, I'm heavy on the ice man If I ain't got a pistol on me, sure I got a knife fam Get out of line and I'm lightin' yo' ass up Semi-automatic's spray I tighten yo' ass up - what?  Every hood we go through All the gangsters around know my whole crew (Nigga what?) We hold it down like we 'sposed to (Haha) Nigga you can front if you want, we be poppin' them thangs (Yeah) Every hood we go through All the gangsters around know my whole crew (Nigga what?) We hold it down like we 'sposed to (Haha) Nigga you can front if you want, we be poppin' them thangs  Slow down little nigga, don't exceed your speed Cause I will put G's on your fitted like the Negro League I got connects, I don't need no weed I been in L.A. for a year now, so I don't see no seeds After I'm done you: clappin' the crew Hell yeah I fuck fans, guess what, your favorite rapper does too In a minute I'ma have the jeweler makin' my rims spin My crew run wild like the Jamaicans in Kingston Nuttin' but bling bling in your face boy; that's why my neck Shine like one of the shirts that Puffy and Mase wore I done found a nympho as soon as I pop a bra She at my balls, head first like a soccer star You can only stand next to the man if you proper I take care of birds like an animal doctor I been out and buzzin', niggas just slept on me So I'm out for revenge like one of Bin Laden cousins  Every hood we go through All the gangsters around know my whole crew (Nigga what?) We hold it down like we 'sposed to (Haha) Nigga you can front if you want, we be poppin' them thangs (Yeah) Every hood we go through All the gangsters around know my whole crew (Nigga what?) We hold it down like we 'sposed to (Haha) Nigga you can front if you want, we be poppin' them thangs  Read the paper, look at the news, we on the front page Yeah we in the Bahamas with AK's on the stage The ice in the Jacob watch'll make a broke nigga take somethin' So I gotta keep the fo'-fifth with no safety button G-Unit get that money, I know some artists is starvin' But play the game like they rich, to me the shit funny I know you see me comin'; cause on the front of the Maybach It say payback for those that hated on me I hate when niggas claim they bangin' a gang You ain't a Crip like Snoop, you ain't a Blood like Game See I been havin' beef, I got my own bulletproof vest Most of my enemies dead, I got about two left Until my last breath, I'm sendin' niggas bullet holes Innocent bystanders get hit tryna be heroes You know how we roll, everywhere that we go It's Fo-Fo's, Calicos, and Desert Eagles, yeah  Every hood we go through All the gangsters around know my whole crew (Nigga what?) We hold it down like we 'sposed to (Haha) Nigga you can front if you want, we be poppin' them thangs (Yeah) Every hood we go through All the gangsters around know my whole crew (Nigga what?) We hold it down like we 'sposed to (Haha) Nigga you can front if you want, we be poppin' them thangs"
Patek Water,Future,73751039,"DY Krazy Go back to what we been through We don't wanna go back to what we been through Southside We don't wanna go back to what we been through We don't wanna go back, don't go back  Ayy, what kinda water is that? That's Patek water (It's Philippe water) Ayy, what kinda shooters is them? Just place your order (Do-do-do-do-do-do-do-do) Ayy, what kinda whip is that? It came imported (Bat, fool) Oh, you rockin' LeBron set, 40 pointers (Yep) Nigga be changing whips out like new Jordans (Oh yeah) Way ahead of yourself, uh, you done outdid yourself (Oh yeah) Chain give you headache, pull up in a red Wraith (Oh yeah) Feed a bitch Addys (Addys), we so lavish (Let's go)  Call me Young Gunna, Young Gunna, Young Gunna, a nigga just wait up (Wet up) We don't got no time for these boys, just shut up and bet up (Shut up, bet up) The Rollie on Ric Flair, my wrist is just wet up (Woo) The plug just called like, 'what up?' nigga, don't let up (Woo, let's go) The diamonds are yellow today, you gotta catch up, yeah (You gotta catch up, yeah) Money on the floor and these hoes, these nigga can't pose with us (Can't pose, no) Why the fuck you say I owe you? You never growed with us (Hah) Diamonds in the ear got big, lil' nigga, I told you (They drippy wet) Flood that pack in the city, then throw it at Strokers (Throw it at Strokers) All these bitches they diggin' with a golden shovel (They diggin') Secret service, they taking me through the side door (Through the side, let's go) And I promise I can thumb with a blindfold  Ayy, what kinda water is that? That's Patek water (It's Philippe water) Ayy, what kinda shooters is them? Just place your order (Do-do-do-do-do-do-do-do) Ayy, what kinda whip is that? It came imported (Bat, fool) Oh, you rockin' LeBron set, 40 pointers (Yep) Nigga be changing whips out like new Jordans (Oh yeah) Way ahead of yourself, uh, you done outdid yourself (Oh yeah) Chain give you headache, pull up in a red Wraith (Oh yeah) Feed a bitch Addys (Addys), we so lavish (Let's go)  Uh, baguettes on the edge of my neck (Baguettes), I never settle for less (Nah) Ooh, put her on Perky and Act', I'ma just fuck and forget (Smash) Uh, yeah, mansion it sit on the hill (Woo), after my last arrest (Woo, woo) Uh, niggas out here in the field, don't need a mask or vest (Brrt, brrt) Uh, back to back Lambos, repeat it, you like to run when it's heated (Run, back to back) AR-15 with the coolant, just in case it get too heated (Coolant) Hop on the wave and drown, my mama been Cartier bracelet down (Mama) Uh, face it down (Hey), dirty my soda, I hate the brown (Ooh) Hold it down 'cause the plug is illegal (Plug) Ride around with a dub and a eagle (Brrt) I heard that money get evil, prayin' to God to keep me from demons (God) She lost in the vibe, surrounded by stars, we got her sucking on semen (Ugh) You gotta survive, ain't sparing no lives, F&N pop at your beanie (Hey)  Ayy, what kinda water is that? That's Patek water (It's Philippe water) Ayy, what kinda shooters is them? Just place your order (Do-do-do-do-do-do-do-do) Ayy, what kinda whip is that? It came imported (Bat, fool) Oh, you rockin' LeBron set, 40 pointers (Yep) Nigga be changing whips out like new Jordans (Oh yeah) Way ahead of yourself, uh, you done outdid yourself (Oh yeah) Chain give you headache, pull up in a red Wraith (Oh yeah) Feed a bitch Addys (Addys), we so lavish (Let's go)  We don't wanna go back to what we been through We just wanna go snatch a nigga's sunroof We don't wanna go back what we been through We don't wanna go back, don't go back"
Jump,Kris Kross,79851055,"(Jump jump) You should know, you should know that, ahh Kris Kross is not having anything today As we stand there totally crossed out We commence to make ya (Jump jump) The Mac Dad'll make ya (Jump jump) The Daddy Mac'll make ya (Jump jump) Kris Kross'll make ya (Jump jump)  Don't try to compare us (Yeah) to another bad little fad I'm the Mac and I'm bad give ya something that you never had I'll make ya bump hump wiggle and shake your rump 'Cause I'll be kicking the flavor that makes you wanna jump How high? Real high! 'Cause I'm just so fly A young lovable, hugable type of guy And everything is to the back with a little slack 'Cause inside out, it's wiggida wiggida wiggida wack I come stompin' with somethin' pumpin' to keep you jumpin' R&B rap is bullcrap is what I'm dumpin' Ain't nuthin' soft about Kris Kross, we all that So when they ask, 'Do they rock?,' say, 'Believe that!'  (Jump Jump) The Mac Dad'll make ya (Jump jump) The Daddy Mac'll make ya (Jump jump) Kris Kross'll make ya (Jump jump) Uh huh, uh huh (Jump jump) The Mac Dad'll make ya (Jump jump) The Daddy Mac'll make ya (Jump jump) Kris Kross'll make ya (Jump jump)  I like my stuff knockin' (Knockin') I love it when the girlies be like jockin' (Jockin') The D-A-double D-Y-M-A-C Yeah, you know me I got you jumpin' an' bumpin' an' pumpin' movin' all around, G In the mix, I made MC's step back They tried to step to the Mac then they got jacked To the back you'll be sportin' the gear; is that coincidental? Act like you know and don't be claiming that it's mental Two lil' kids with a flow you ain't ever heard And nuthin' fake and you can understand every word (Word, hahaha) As you listen to my cool, smooth melody The Daddy makes you J-U-M-P  (Jump Jump) The Mac Dad'll make ya (Jump jump) The Daddy Mac'll make ya (Jump jump) Kris Kross'll make ya (Jump jump) Uh huh, uh huh (Jump jump) The Mac Dad'll make ya (Jump jump) The Daddy Mac'll make ya (Jump jump) Kris Kross'll make ya (Jump jump)  Now, the formalities of this and that Is that Kris Kross ain't comin' off wack And for all y'all suckas that don't know Check it out Some of them try to rhyme but they can't rhyme like this (Bo, bo) Some of them try to rhyme but they can't rhyme like this (Bo, bo) Some of them try to rhyme but they can't rhyme like this (Bo, bo) Some of them try to rhyme but they can't (Bo, bo) 'Cause I'm the miggida miggida miggida miggida Mac Daddy (Bo, bo) The miggida miggida miggida miggida Mac (Bo, bo) 'Cause I'm the miggida miggida miggida miggida Mac Daddy (Bo, bo) The miggida miggida miggida miggida Mac (Bo, bo) I make you wanna  (Jump jump) The Mac Dad'll make ya (Jump jump) The Daddy Mac'll make ya (Jump jump) Kris Kross'll make ya (Jump jump) Uh huh, uh huh (Jump jump) The Mac Dad'll make ya (Jump jump) The Daddy Mac'll make ya (Jump jump) Kris Kross'll make ya (Jump jump) (Jump jump) The Mac Dad'll make ya (Jump jump) The Daddy Mac'll make ya (Jump jump) Kris Kross'll make ya (Jump jump) Uh huh, uh huh (Jump jump) The Mac Dad'll make ya (Jump jump) The Daddy Mac'll make ya (Jump jump) Kris Kross'll make ya (Jump jump) (Jump jump) The Mac Dad'll make ya (Jump jump) The Daddy Mac'll make ya (Jump jump) Kris Kross'll make ya (Jump jmp) Uh huh, uh huh (Jump jump) The Mac Dad'll make ya (Jump jump) The Daddy Mac'll make ya (Jump jump) Kris Kross'll make ya (Jump jump)  Believe that!"
