Title,Artist,Album,ID,Number
"Fight Night","Migos","No Label II",56PJDByaunMWwCqs5rV3Nc,9
"Ho Hey","The Lumineers","The Lumineers (Deluxe Edition)",0nRgsLe1she16l3pclpyy7,5
"Wrecking Ball","Miley Cyrus","Bangerz (Deluxe Version)",3RDqXDc1bAETps54MSSOW0,6
"Down","Fifth Harmony","Fifth Harmony",0kHFNaPXHGZitDEqNb88ws,1
"Loyal","Chris Brown","X (Deluxe Version)",4yOWnTrCkOOpl4IiVnpj3H,3
"Praying","Kesha","Rainbow",1IYVB8NfiRqhdZlTxjspNh,5
"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd","SR3MM",4vLYreWxd2ptOAzPwTyBI3,7
"Where Ya At","Future","DS2 (Deluxe)",0fUy6IdLHDpGNwavIlhEsl,3
"OK - Spotify Version","Robin Schulz","OK",5IgTY4yg7QK2kVVNrztnmo,1
"MIA (feat. Drake)","Bad Bunny","MIA (feat. Drake)",0p0W4RXcnc59jgatcdZozO,1
"Rolling in the Deep","Adele","21",1azUkThwd2HfUDdeNeT147,1
"Shut Up and Dance","WALK THE MOON","TALKING IS HARD",3mNoFlD1wsoXfkljfFzExT,3
"In My Mind","Dynoro","In My Mind",1c79SozES9Eb3Lzf9KVaIa,1
"Comin Out Strong","Future","HNDRXX",7K6OykPbezfgKgBufihn6X,2
"Bad Bitch (feat. Ty Dolla $ign)","Bebe Rexha","All Your Fault: Pt. 1",2rBHhp9tNShxTb529Hi5AS,6
"Cold Water (feat. Justin Bieber & MØ)","Major Lazer","Major Lazer Essentials",615Wwa9XvRQvJqVPEhlBAe,3
"I Like It","Cardi B","Invasion of Privacy",4KdtEKjY3Gi0mKiSdy96ML,7
"Love Someone","Lukas Graham","Love Someone",0JcMyAnJRTisEjYf9xEwkf,1
"Too Good","Drake","Views",40GMAhriYJRO1rsY4YdrZb,16
"Perfect Strangers","Jonas Blue","Perfect Strangers",3unvtEoEI6Ga2FMKotI20p,1
