Title,Artist,Count
Fight Night,Migos,181222588
Ho Hey,The Lumineers,513823249
Wrecking Ball,Miley Cyrus,411509936
Down,Fifth Harmony,187521650
Loyal,Chris Brown,332723241
Praying,Kesha,302623281
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,281508544
Where Ya At,Future,208115105
OK - Spotify Version,Robin Schulz,294005657
MIA (feat. Drake),Bad Bunny,719374139
Rolling in the Deep,Adele,594642891
Shut Up and Dance,WALK THE MOON,713190505
In My Mind,Dynoro,717642626
Comin Out Strong,Future,123486766
Bad Bitch (feat. Ty Dolla $ign),Bebe Rexha,137841530
Cold Water (feat. Justin Bieber & MØ),Major Lazer,1060342062
I Like It,Cardi B,951815623
Love Someone,Lukas Graham,351270590
Too Good,Drake,756706664
Perfect Strangers,Jonas Blue,656093405
