Title,Artist,Count,Lyrics
Problem,Ariana Grande,518914125,"Uh-huh! It's Iggy Iggs! I got one more problem with you girl, hey! (One less, one less problem)  Hey baby, even though I hate ya, I wanna love ya (I want you) And even though I can't forgive ya, I really want to (I want you) Tell me, tell me, baby, why can't you leave me? 'Cause even though I shouldn't want it, I gotta have it (I want you)  Head in the clouds Got no weight on my shoulders I should be wiser, and realize that I've got  One less problem without ya I got one less problem without ya I got one less problem without ya I got one less, one less problem One less problem without ya I got one less problem without ya I got one less problem without ya I got one less, one less problem  I know you're never gonna wake up, I gotta give up (But it's you) I know I shouldn't ever call back or let you come back (But it's you) Every time you touch me and say you love me I get a little bit breathless, I shouldn't want it (But it's you)  Head in the clouds Got no weight on my shoulders I should be wiser, and realize that I've got  One less problem without ya I got one less problem without ya I got one less problem without ya I got one less, one less problem One less problem without ya I got one less problem without ya (Ooh, babe) I got one less problem without ya (Ooh, woah) I got one less, one less problem  It's Iggy Iggs! Uh, what you got? Smart money bettin' I'll be better off without you In no time I'll be forgettin' all about you You sayin' that you know, but I really, really doubt you Understand my life is easy when I ain't around you Iggy Iggy, too biggie to be here stressin' I'm thinkin' I love the thought of you more than I love your presence And the best thing now is probably for you to exit I let you go, let you back, I finally learned my lesson No half-steppin', either you want it or you just playin' I'm listenin' to you knowin' I can't believe what you sayin' There's a million you's baby boo, so don't be dumb I got 99 problems but you won't be one, like what  One less, one less problem One less, one less problem  Head in the clouds Got no weight on my shoulders I should be wiser, and realize that I've got  One less problem without ya (Hey) I got one less problem without ya (No, babe) I got one less problem without ya (Ooh) I got one less, one less problem (Ooh, baby) One less problem without ya (Yeah, I got) I got one less problem without ya (Woo, hey!) I got one less problem without ya I got one less, one less problem, problem, baby One less problem without ya (Hey) I got one less problem without ya (Without you) I got one less problem without ya (I got one less, one less, yeah) I got one less, one less problem"
Pop Style,Drake,288187726,"Dropped outta school now we dumb rich (Dumb rich) This sound like some forty-three-oh-one shit (One shit) All my niggas wanna do is pop style (Pop style) Turn my birthday into a lifestyle (Lifestyle)  Tell my mom I love her if I do not make it (Do not make it) Got so many chains they call me Chaining Tatum (They do, they do) And I like to finish what you think you started Man you boys just got to Hollywood, you boys just started You don't know what you just started All I do is hang with the young and heartless All this for my family, man, I try my hardest It's all I ever did and look where it got him Yeah, you've been on my mind lately You've still got my number, girl you need to call me I feel like they wanna see me learn the hard way But you know I always handle that one my way Girl, let me rock, rock, rock, rock, rock your body Justin Timberlake and then I hit the highway I can't trust no fuckin' body They still out to get me cause they never got me  They still out to get me, I don't get it I can not be got, and that's a given Give a real nigga the number one Even though I got like twenty-one Cannot be me I'm a one-of-one Schooling your ass like 101 They been out here tryna slide on me They been out here telling lies on me Everybody looking out for themself But they still got they eyes on me See me putting in the hard work now, ayy Momma doesn't have to call work now, ayy I decide when I start work now, ayy Problems hit the gym, they all work out MVP, MVP, oh-nine all the way to sixteen Even next season looking like a breeze Lot of y'all ain't built for the league, yeah Trade you off the team while you in your sleep, yeah Y'all showed me that nothing's guaranteed And you don't know what you started My friend's chain so big that he look like the artist I can't trust no fuckin' body They still out to get me cause they never got me  Dropped outta school now we dumb rich (Dumb rich) This sound like some forty-three-oh-one shit (One shit) All my niggas wanna do is pop style (Pop style) Turn my birthday into a lifestyle (Lifestyle)"
All of the Stars,Ed Sheeran,180645264,"It's just another night, and I'm staring at the moon I saw a shooting star and thought of you I sang a lullaby by the waterside and knew If you were here, I'd sing to you You're on the other side, as the skyline splits in two I'm miles away from seeing you But I can see the stars from America I wondered, do you see them too?  So open your eyes and see The way our horizons meet And all of the lights will lead Into the night with me And I know these scars will bleed But both of our hearts believe All of these stars will guide us home  I can hear your heart on the radio beat They're playing 'Chasing Cars' and I thought of us Back to the time you were lying next to me I looked across and fell in love So I took your hand back through lamp lit streets, I knew Everything led back to you So can you see the stars over Amsterdam? You're the song my heart is beating to  So open your eyes and see The way our horizons meet And all of the lights will lead Into the night with me And I know these scars will bleed But both of our hearts believe All of these stars will guide us home  And oh, I know And oh, I know And oh I can see the stars From America"
No Shopping,French Montana,96160943,"Sippin' on  the drank, sippin' on the drank (Yeah) Sippin' on  the drank, sippin' on the drank (Yeah, woo) All about the mula, all about the mula (Woo) Word to the bird, I ain't never take her fur shoppin' (Ayy, woo)  Runnin' through them keys way before Khaled (Another one) Runnin' with the pushas way before Malice (Woo) Word to the five, I'm the one like four minus Caught her off the rebound, Ben Wallace, gave her four dollars Eh, sippin' on the drank, sippin' on the drank (Woo) Sippin' on the drank, I ain't tryna think (Woo, ayy, ayy) When it get hot, bodies start droppin' Hit the strip club, told them hoes gon' get the moppin' (Skrrt skrrt, woo) Word to Diddy, we Cirocin' (We Cirocin') Word to Biggie, we'll be Pac-in' (We be Pac-in', what?) I just bought Selena's crib, I'm poppin' I just told Drizzy, 'Let me take Serena to the tropics' Sippin' on the drank, sippin' on the drank (Drank) Sippin' on the drank, I ain't tryna think (Woo) Sittin' high, 6 God cover (Woo) Tell them hoes, 'Get low,' 6 God comin'  Sippin' on  the drank, sippin' on the drank (Yeah) Sippin' on  the drank, sippin' on the drank (Yeah, woo) All about the mula, all about the mula (Woo) Word to the bird, I ain't never take her fur shoppin'  Pump, pump, pump it up (Skrrt) She got a good head on her, but I pump it up (Skrrt) I'm not a one hit wonder, they know all my stuff (Haan) You let me turn into the nigga that you almost was I done seen a lot of shit and I done been in things (Haan) And I never started nothin', I just finish things And I'm sell off like the man that brought me in this thing (Woo) How you out here celebratin' like the winnin' team? No, calm down, calm down Shit ain't how you think it is, take a look around (Skrrt) I'm supposed to be on a vacation right now But I'm home wildin', word to DJ Khaled Back with another one I'm steady droppin' bombs on your head top (Head) Been that way since I could make your bed rock (Bed) I'm on Bloor where you can't shop (Skrrt) Bitch, I just rapped and it went pop Next move better than my last move (Haan) Your next move can't erase your past moves Took her out once she got attached to him Ring, ring, click, I'll get back to 'em (Woo) You don't really want the views You don't want a snapshot of things goin' on with the crew You don't wanna hear Not Nice did 13 And did another two for some other shit he didn't do (Woo) Last week, boy dem runnin' in the room  (Haan) This week sold one point two (Haan) Yeah, it's a Boucheron baby boy Yeah, and I know Taraji like I'm baby boy (Haan) And I fuck with Weezy and I'm Baby, boy (Haan) Yeah we the Army, better yet the Navy, boy (Haan)  Sippin' on  the drank, sippin' on the drank Sippin' on the drank, I ain't tryna think (Yeah) All about the mula, all about the mula (Woo) Word to the bird, I ain't never take her fur shoppin' (Woo, ayy) Sippin' on  the drank, sippin' on the drank Sippin' on  the drank, I ain't tryna think All about the mula, all about the mula Word to the bird, I ain't never take her fur shoppin'  The birds want rings and tings, you know But we'll never take the bird shoppin', you know Still, you already dun know Big up, Six God Haaaan, skrrt, skrrt!"
Lush Life,Zara Larsson,836607184,"I live my day as if it was the last Live my day as if there was no past Doin' it all night, all summer Doin' it the way I wanna Yeah, I'ma dance my heart out 'til the dawn But I won't be done when mornin' comes Doin' it all night, all summer Gonna spend it like no other  It was a crush But I couldn't, couldn't get enough It was a rush But I gave it up It was a crush Now, I might've went and said too much But, that's all it was So, I gave it up  I live my day as if it was the last Live my day as if there was no past Doin' it all night, all summer Doin' it the way I wanna Yeah, I'ma dance my heart out 'til the dawn But I won't be done when mornin' comes Doin' it all night, all summer Gonna spend it like no other  It was a crush I kept sayin' I'ma stay in touch But that thing went bust So I gave it up, ooh No tricks, no bluff I'm just better off without them cuffs Yeah, the sun won't set on us Ooh-ooh-ooh-ooh, yeah, yeah  Went low, went high Still waters run dry Gotta get back in the groove I ain't ever worried Went low, went high, what matters is now Gettin' right back in the mood  I live my day as if it was the last Live my day as if there was no past Doin' it all night, all summer Doin' it the way I wanna Yeah, I'ma dance my heart out 'til the dawn But I won't be done when mornin' comes Doin' it all night, all summer Gonna spend it like no other Now I've found another crush The lush life's given me a rush Had one chance to make me blush Second time is one too late Now I've found another crush The lush life's given me a rush Had one chance to make me blush Second time is one too late  Ooh, ooh, woah, ooh, ooh  I live my day as if it was the last Live my day as if there was no past Doin' it all night, all summer Doin' it the way I wanna Yeah, I'ma dance my heart out 'til the dawn But I won't be done when mornin' comes Doin' it all night, all summer Gonna spend it like no other Now I've found another crush The lush life's given me a rush Had one chance to make me blush Second time is one too late Now I've found another crush The lush life's given me a rush Had one chance to make me blush Second time is one too late"
iSpy (feat. Lil Yachty),KYLE,605450606,"Man, fuck What's wrong Kyle? Man, these kids, man, talkin' shit, makin' me feel bad Man, fuck them kids, bro! Look around, bro, look at life Man, you're right Mmm, you see, you see these fine bitches over here? Yeah, whoa... You see these trees man? You see this water? I guess it is okay Come on, man, you got so much more to appreciate, man Man you know what, y-you're right You damn right I'm right, I can't remember a time I was god-damn wrong Man, thanks, Lil Boat Hey man, that's what I'm here for  I ain't been gettin' high Well, maybe a little, baby, I don't wanna lie I know when you text me, girl, I don't always reply Well you're not an angel either, you can't even fly I noticed, you think that you know shit All this shade that's comin' at me, I wonder who throws it They can't see the vision, boy they must be out of focus That's a real hot album homie, I wonder who wrote it, oh shit Otay, pray them niggas go away Always hella clowns around, it look like Cirque Du Soleil This is not the album either, these are just the throwaways This shit still so cold when it drop, it's gonna be a mothafuckin' snow day Ayy, boy is good and he knows it, he don't say it, he shows it I'm just like DeRozan, if I shoot it, it goes in I'm in Cali just coastin', get 'em so wet they need coasters (Facts) I got a selfie with Oprah (Facts), I just ain't never post it And I'm in my happy place posted I ain't frowned since '06, I ain't cried since '01 My pad like Six Flags and your house is no fun You can come back to mine though Your friend ain't cute, but it's fine though We gon' end on a high note  I spy with my little eye A girlie I can get 'cause she don't get too many likes A curly-headed cutie I can turn into my wife Wait, that means forever, ever, hold up, never mind Oh I, I spy with my little eye A girlie I can get 'cause she don't get too many likes A curly-headed cutie I can turn into my wife Wait, that means forever, ever, hold up, never mind  Oh I, I spy with my little eye I spy, I spy with my little eye Oh I, I spy with my little eye I spy, I spy with my little eye Oh I  She said she 21, I might have to ID that All my bitches come in pairs like balls in my nutsack I remember ridin' around the city in a Hatchback Lookin' for a problem with my young goblins I'ma send a model home with her neck throbbin' I done made so much money that it's non-stoppin' Got my brothers on my back like the last name I remember tellin' everyone I couldn't be tamed Woah, six months later, I had snapped and now I'm in the game Went from fake chains to diamonds in another lane Went from 'Can you take me here?' to screenin' out the lane Went from 'Damn, this nigga lame' to remember my name So I remember all the people who ain't fucked with me They went to college, now all them niggas is history I upgraded from gold to diamonds in my teeth Ridin' deep in the van, like we lookin' for a mystery (Raggy?) So don't fuck with me No, lately I been livin' like luxury Boat and Kyle stick together like piano keys And on my mother's mother I won't fuck a bitch without a damn rubber  I spy with my little eye A girlie I can get 'cause she don't get too many likes A curly-headed cutie I can turn into my wife Wait, that means forever, ever, hold up, never mind Oh I, I spy with my little eye A girlie I can get 'cause she don't get too many likes A curly-headed cutie I can turn into my wife Wait, that means forever, ever, hold up, never mind  Oh I, I spy with my little eye I spy, I spy with my little eye Oh I, I spy with my little eye I spy, I spy with my little eye Oh I"
Fake Love,Drake,687318048,"I've been down so long, it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face, straight up to my face I've been down so long, it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face, straight up to my face  Somethin' ain't right when we talkin' Somethin' ain't right when we talkin' Look like you hidin' your problems Really you never was solid No, you can't 'son' me You won't never get to run me Just when shit look out of reach I reach back like one, three Like one, three, yeah  That's when they smile in my face Whole time they wanna take my place Whole time they wanna take my place Whole time they wanna take my place Yeah, I know they wanna take my place I can tell that love is fake I don't trust a word you say How you wanna clique up after your mistakes? Look you in the face, and it's just not the same  I've been down so long, it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face, straight up to my face I've been down so long, it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face, straight up to my face  Yeah, straight up to my face, tryna play it safe Vibe switch like night and day I can see it, like, right away I came up, you changed up I caught that whole play Since, things never been the same  That's when they smile in my face Whole time they wanna take my place Whole time they wanna take my place Whole time they wanna take my place Yeah, I know they wanna take my place I can tell that love is fake (I can tell that love is fake) I don't trust a word you say (I don't trust a word) How you wanna clique up after your mistakes? (That's just what I heard) Look you in the face, and it's just not the same  I've been down so long, it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face, straight up to my face I've been down so long, it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face, straight up to my face  Skrrt And more chune for your headtop So watch how you speak on my name, you know?"
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,394417530,"Mhm, mhm Mhm, mhm, woo-hoo-hoo  We open with the vultures, kissing the cannibals Sure I get lonely, when I'm the only Only human in the heaving heat of the animals Bitter brown salt, stinging on my tongue and I I will not waiver, heart will not wait its turn It will beat, it will burn, burn, burn your love into the ground With the lips of another Do you get lonely? Sure, I get lonely, sometimes  All my friends are wasted And I hate this club Man, I drink too much Another Friday night I've wasted My eyes are black and red I'm crawling back to your bed  I hate the bar Pharmacy addict hit the Wall Street traffic, took the car We reinvent the wheel just to fall asleep at it, skrrr Crash on the floor, catch the zzz's (Uh) Poppin' the polar opposite to the NZT (Uh) Hip-hop and the propaganda say they name brand (Name brand) But I done seen how the Xan did my main man (Main man) The nights we won't remember Are the nights we won't remember I'll be gone till November All my city calls me Simba Dreams are made for cages, nigga Lions are for real, nigga Dying is for real, niggas dying off of pills, nigga Fridays are for chill and I escaped the treachery I just had to rest in peace the recipe The rest of us are praying that the sand will leave a tan If you're up right now, hope you hear what I'm saying Hope you hear what I'm saying  All my friends are wasted And I hate this club Man, I drink too much Another Friday night I've wasted My eyes are black and red (Whoo!) I'm crawling back to your bed  Do you get lonely? Sure, I get lonely some nights When the angels on my shoulder Slumber and I'm stuck here with the vultures Hissing and circling You didn't call me, call me, call me, call me Ohhh... I'm crawling, crawling Crawling back to you  All my friends are wasted (All my friends are wasted) And I hate this club Man, I drink too much (I drink too much) Another Friday night I've wasted My eyes are black and red I'm crawling back to your bed All my friends are wasted (All my friends are wasted) And I hate this club Man, I drink too much Another Friday night I've wasted My eyes are black and red I'm crawling back to your bed Mhm, mhm"
What Lovers Do (feat. SZA),Maroon 5,805405916,"Say say say, hey hey now baby Oh mama, don't play now baby Say say say, hey hey now baby Said let's get one thing straight now baby  Tell me, tell me if you love me or not, love me or not, love me or not? I'll bet the house on you, am I lucky or not, lucky or not, lucky or not? You gotta tell me if you love me or not, love me or not, love me or not? Been wishin' for you, am I lucky or not, lucky or not, lucky or not?  Ooooh, oooh Been wishin' for you Ooh, ooh Tryna' do what lovers do (ooh) Ooooh, oooh Been wishin' for you Ooh, ooh Tryna' do what lovers do (ooh)  Say say say, hey hey now baby You gonna make me hit you with that lay down, baby (ohhh) (Ooh) Say say say, hey hey now baby You know what I need, out the gate now baby (oh, ohhh)  Tell me, tell me if you love me or not, love me or not, love me or not? I'll bet the house on you, am I lucky or not, lucky or not, lucky or not? You gotta tell me if you love me or not, love me or not, love me or not? Been wishin' for you am I lucky or not, lucky or not, lucky or not?  Ooooh, oooh Been wishin' for you Ooh, ooh Tryna' do what lovers do (ooh) Ooooh, oooh Been wishin' for you (wishin') Ooh, ooh Tryna' do what lovers do (ooh)  (Hey yeah) What lovers do (oh, ohh) What lovers do (hmm na na na, hey yeah) What lovers do (oh, hmm na na na, oh, ohh)  Aren't we too grown for games? Aren't we too grown to play around? Young enough to chase But old enough to know better Are we too grown for changin'? Are we too grown to mess around? Ooh and I can't wait forever baby Both of us should know better  Ooooh, oooh Been wishin' for you Ooh, ooh Tryna' do what lovers do (ooh)  Ooooh, oooh Been wishin' for you Ooh, ooh Tryna' do what lovers do (ooh) Ooooh, oooh Been wishin' for you (you, oh yeah) Ooh, ooh (ooh) Tryna' do what lovers do (tryna' do what lovers do,ooh) Ooooh, oooh Been wishin' for you (been wishin' for love) Ooh, ooh Tryna' do what lovers do (do uhh,ooh) Ooooh, oooh Been wishin' for you (tryna' do) Ooh, ooh Tryna' do what lovers do (ooh)"
Everyday,Logic,330047182,"Yeah, ayy  I work hard every motherfuckin' day-ay-ay-ayy I work hard, I work hard every day-ay-ay-ayy, yeah But today is my day, it's my day And no matter what they say, it's my day La-la-la-la-la-la, yeah, yeah  Roll up to the spot, feelin' real good Think you gon' talk shit, you better not, my homies real hood They say, 'Logic, why you do that?' I don't know, I don't know Yeah, they used to be like, 'Who that?' I don't know, I don't know Now they know my name wherever I go Used to think that's what I wanted, but now just don't know No, I can't fuck with that, knuck if you buckin' back Yeah, I been workin' but I ain't get nothin' back Tell me the dealy now, hold up, wait, really now All of that shit you been talkin' just silly now  Just as quick as you rise Just as quick as you could fall Oh, no, no, no, I can't fuck with that at all Can't fuck with that at all  I work hard every motherfuckin' day-ay-ay-ayy I work hard, I work hard every day-ay-ay-ayy, yeah But today is my day, it's my day And no matter what they say, it's my day La-la-la-la-la-la, yeah  All, all she ever wanted was attention And a bunch of other shit I shouldn't mention 'Cause she got daddy issues for days, for days and days But today, she ain't got shit to do Her right along with you So we gon' fuck around and vibe, and vibe, and vibe, and vibe I'm tryna live my life, but am I doing it right? Yeah, I'm tryna live my life, but am I doing it right? 'Cause they tell me I'm the man You the man right now, you the man right now With the whole wide world in the palm of your hand right now Fuck the lights and the cameras and the money and the fame I'ma do it for the fam right now I'ma get it for the 301 and the R-A-double T-P-A-C 'cause you know  I work hard every motherfuckin' day-ay-ay-ayy I work hard, I work hard every day-ay-ay-ayy, yeah But today is my day, it's my day And no matter what they say, it's my day La-la-la-la-la-la, yeah"
