Title,Artist,Album,ID,Number
Thought Contagion,Muse,The Dark Side / Something Human / Thought Contagion / Dig Down,6OX3blc5vb3huGk2PTM0Kk,3
Rx (Medicate),Theory of a Deadman,Wake Up Call,1P2L7DD1DCqb0VfpMyByLl,2
Bad To The Bone,George Thorogood & The Destroyers,BAD TO THE BONE,2YeoeDa3soxjD4ANZGG1fj,6
Don't Bring Me Down,Electric Light Orchestra,Discovery,1CvVSn2MtKDBR6aWMkNkem,9
Don't Speak,No Doubt,Tragic Kingdom,3VekjWskUut57hx6W9wqL8,10
High,Sir Sly,"Don't You Worry, Honey",5VvCD7gVffRgdPfExxLfF4,1
Alone,Heart,Bad Animals,56dfEbntfVTMCxjrjggL1e,2
Break Stuff,Limp Bizkit,Significant Other,3HCCUaRSjHSFOe4fqE0BiP,4
Fly Away,Lenny Kravitz,5,6MCNMOCRsh6nxs7PNzc0zN,8
Chlorine,Twenty One Pilots,Trench,621cXqrTSSJi1WqDMSLmbL,5
Still Waiting,Sum 41,Does This Look Infected?,2iOJEUCKJaYseov1qA8ot8,4
Eastbound & Down,WSTR,"Red, Green or Inbetween",1t3IG0Xa2zakXGhZfR2Bij,6
Centuries,Fall Out Boy,American Beauty/American Psycho,022DrG7Wp2PSCwzuD0bSzT,3
Wind Of Change,Scorpions,Crazy World,3dLKM8bD8R3H3XnSOXGjTF,4
Shepherd of Fire,Avenged Sevenfold,Hail to the King,0ks45m1bsP2JsZpM5D2FFA,1
Stronger,The Score,Stronger,1ZYML9Wz8cTOnudrIj1Qhs,1
Scary Love,The Neighbourhood,The Neighbourhood,5xbaMmAs8y8sglwm3GzHCm,2
You Could Be Mine,Guns N' Roses,Use Your Illusion II,00eiw4KOJZ7eC3NBEpmH4C,12
When We Were Young,Andy Black,"Punk Goes Pop, Vol. 7",0QnLGxrlc61tSudHIZr4Sz,5
The Man,The Killers,Wonderful Wonderful,72ZfMxLCPG8mlWC0TXfZQi,2
Are You Ready,Disturbed,Evolution,0V73oq7XX0jQL8hd1EZWe4,1
Hell Yeah,Rev Theory,Light It Up,5EgFhEPaTv1PmbTd46uTPG,1
Taipei Person / Allah Tea,Stone Sour,Hydrograd,4PERSgw7TXqpEZlIVN6zHr,2
Ziggy Stardust - 2012 Remaster,David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version),48D1hRORqJq52qsnUYZX56,9
Beyond,Leon Bridges,Good Thing,7J9fifadXb0PPSBWXctbi8,4
It's Not My Time,3 Doors Down,3 Doors Down,0e2vlZj9wAALaxr5Bhxvw8,3
Where Do We Go When We Go,Neck Deep,The Peace And The Panic,6MiQ7JVsKlOBJFJzWQZ2Kz,11
Behind Blue Eyes,The Who,Who's Next,40l8psHxHkph9yw5bcn2p3,8
If You Only Knew,Shinedown,The Sound of Madness (International),661dSFpYtPulSNDZZLkokq,6
The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",3ilXDEG0xiajK8AbqboeJz,1
Red Flag,Billy Talent,Billy Talent II,0cTOvcvrbNiaiv4WXEUHzT,2
Sabotage,Beastie Boys,Ill Communication,6lfjbwFGzQ6aSNP1N3JlT8,6
Seven Nation Army,The White Stripes,Elephant,4teFaDSeFHYXZjZJaZGrAO,1
Champion,Fall Out Boy,MANIA,02s2F3XMnv9vr2syELbSsu,7
