Title,Artist,Count,Lyrics
Thought Contagion,Muse,44338959,Strung out falling from the big time Welcome to the infinite black skies Brain cleansed fractured identity Fragments and scattered debris  Thought contagion Thought contagion  Fall down learn when to count it out Prop me up before I black out Withdraw before you're out of time A clean slate and buried war crimes  You've been bitten by a true believer You've been bitten by someone who's hungrier than you You've been bitten by a true believer You've been bitten by someone's false beliefs Thought contagion Thought contagion  They'll never do what you want them to Give it up and watch them break through It's too late for a revolution Brace for the final solution  Thought contagion Thought contagion  You've been bitten by a true believer You've been bitten by someone who's hungrier than you You've been bitten by a true believer You've been bitten by someone's false beliefs Oh-woah-oh-woah-oh-oh-oh Thought contagion Oh-woah-oh-woah-oh-oh-oh Thought contagion Oh-woah-oh-woah-oh-oh-oh  Strung out falling from the big time Welcome to the infinite black skies Oh-woah-oh-woah-oh-oh-oh It's too late for a revolution Brace for the final solution
Rx (Medicate),Theory of a Deadman,98690247,"Wake up to a cloudy day Dark rolls in, and it starts to rain Staring out to the cage-like walls Time goes by and the shadows crawl Crushing candy, crushing pills Got no job, mom pays my bills Texting exes, get my fill Sweating bullets, Netflix chills World's out there singing the blues Twenty more dead on the evening news Think to myself: 'Really, what's the use?' I'm just like you, I was born to lose  Why, oh, why can't you just fix me? When all I want's to feel numb But the medication's all gone Why, oh, why does God hate me? When all I want's to get high And forget this so-called life  I am so frickin' bored Nothing to do today I guess I'll sit around and medicate (medicate) I am so frickin' bored Nothing to do today I guess I'll sit around and medicate (medicate)  Can't wait to feel better than I ever will Attack that shit like a kid on Benadryl Chase it down with a hopeful smile Hate myself, I can go for miles They say family's all you need Someone to trust who can help you breathe Inhale that drug, but you start to choke You fall on the outs of an inside joke  Why, oh, why can't you just fix me? When all I want's to feel numb But the medication's all gone Why, oh, why does God hate me? Cause I've seen enough of it, heard enough of it, felt enough of it Had enough of it!  I am so frickin' bored Nothing to do today I guess I'll sit around and medicate (medicate) I am so frickin' bored Nothing to do today I guess I'll sit around and medicate (medicate)  Superman is a hero But only when his mind is clear, though He needs that fix like the rest of us So he's got no fear when he saves that bus All the stars in the Hollywood Hills Snapchat live while they pop them pills All those flavors of the rainbow Too bad that shit don't work though  Your friends are high right now Your parents are high right now That hot chick's high right now That cop is high right now The president's high right now Your priest is high right now Everyone's high as fuck right now And no one's ever coming down!  I am so frickin' bored Nothing to do today I guess I'll sit around and medicate (medicate) I am so frickin' bored Nothing to do today I guess I'll sit around and medicate (medicate)  Medicate"
Bad To The Bone,George Thorogood & The Destroyers,69431912,"On the day I was born, the nurses all gathered 'round And they gazed in wide wonder at the joy they had found The head nurse spoke up, said 'Leave this one alone.' She could tell right away that I was bad to the bone  Bad to the bone Bad to the bone B-B-B-B-Bad B-B-B-B-Bad B-B-B-B-Bad Bad to the bone  I broke a thousand hearts before I met you I'll break a thousand more baby before I am through I wanna be yours pretty baby, yours and yours alone I'm here to tell ya honey that I'm bad to the bone  Bad to the bone B-B-B-Bad B-B-B-Bad B-B-B-Bad Bad to the bone   I make a rich woman beg, I'll make a good woman steal I'll make an old woman blush and make a young woman squeal I wanna be yours pretty baby, yours and yours alone I'm here to tell ya honey, that I'm bad to the bone  B-B-B-B-Bad B-B-B-B-Bad B-B-B-B-Bad Bad to the bone {Bridge}  Now when I walk the streets, kings and queens step aside Every woman I meet, they all stay satisfied I wanna tell ya pretty baby, what I see I make my own And I'm here to tell ya honey that I'm bad to the bone  B-B-B-B-Bad B-B-B-B-Bad B-B-B-B-Bad Bad to the bone"
Don't Bring Me Down,Electric Light Orchestra,83725892,"You got me running, going out of my mind You got me thinking that I'm wasting my time  Don't bring me down No, no, no, no, no Ooh-ooh-hoo I'll tell you once more before I get off the floor Don't bring me down  You wanna stay out with your fancy friends I'm telling you, it's got to be the end  Don't bring me down No, no, no, no, no Ooh-ooh-hoo I'll tell you once more before I get off the floor Don't bring me down  Don't bring me down, Groos Don't bring me down, Groos Don't bring me down, Groos Don't bring me down  What happened to the girl I used to know? You let your mind out somewhere down the road  Don't bring me down No, no, no, no, no Ooh-ooh-hoo I'll tell you once more before I get off the floor Don't bring me down  You're always talking 'bout your crazy nights One of these days, you're gonna get it right  Don't bring me down No, no, no, no, no Ooh-ooh-hoo I'll tell you once more before I get off the floor Don't bring me down  Don't bring me down, Groos Don't bring me down, Groos Don't bring me down, Groos Don't bring me down  You're looking good, just like a snake in the grass One of these days, you're gonna break your glass  Don't bring me down No, no, no, no, no, no, no, no, no Ooh-ooh-hoo I'll tell you once more before I get off the floor Don't bring me down  You got me shaking, got me running away You got me crawling up to you everyday  Don't bring me down No, no, no, no, no Ooh-ooh-hoo I'll tell you once more before I get off the floor Don't bring me down, down, down, down, down, down  I'll tell you once more before I get off the floor Don't bring me down"
Don't Speak,No Doubt,264998913,"You and me, we used to be together Every day together, always I really feel that I'm losin' my best friend I can't believe this could be the end It looks as though you're lettin' go And if it's real, well, I don't want to know  Don't speak, I know just what you're sayin' So please stop explainin' Don't tell me 'cause it hurts Don't speak, I know what you're thinkin' I don't need your reasons Don't tell me 'cause it hurts  Our memories, well, they can be inviting But some are altogether mighty frightening As we die, both you and I With my head in my hands, I sit and cry  Don't speak, I know just what you're sayin' So please stop explainin' Don't tell me 'cause it hurts (No, no, no) Don't speak, I know what you're thinkin' And I don't need your reasons Don't tell me 'cause it hurts  It's all ending We gotta stop pretending who we are   You and me I can see us dyin', aren't we?  Don't speak, I know just what you're sayin' So please stop explainin' Don't tell me 'cause it hurts No, no, don't speak, I know what you're thinkin' And I don't need your reasons Don't tell me 'cause it hurts  Don't tell me 'cause it hurts I know what you're sayin' So please stop explainin' Don't speak, don't speak, don't speak, no I know what you're thinkin' And I don't need your reasons I know you're good, I know you're good I know you're real good, oh La, la, la, la, la, la Don't, don't, ooh, ooh Hush, hush, darling Hush, hush, darling Hush, hush Don't tell me 'cause it hurts Hush, hush, darling Hush, hush, darling Hush, hush Don't tell me 'cause it hurts Oh, hush, hush, darling Hush, hush, darling"
High,Sir Sly,42502192,"Ive been smoking on the peace pipe Ive been wondering just what would peace be like Ive been staring into headlights Swallow me whole, finding my peace of mind Im just trying to seize the moment Trying to love the little things, even if theyre hard to love A monument to love unspoken Carved into stone, Unwilling to come undone  It feels good to be running from the devil Another breath and Im up another level It feels good to be up above the clouds It feels good for the first time in a long time now  I remember back in Oakland I was lying there in rapture on the bathroom floor Moving hotel to hotel Out on the road, no idea really whats in store Light it up just like a flashlight Let it shine, let it rise just like a foreign sun Turn it over and its capsized Its finally done, the battle's lost, yet I feel Ive won  It feels good to be running from the devil Another breath and Im up another level It feels good to be up above the clouds It feels good for the first time in a long time now  It feels good for the first time in a long time now It feels good to be me  Im high, staring at the ceiling Sending my love, what a wonderful feeling What comes next, I see a light Im along for the ride as Im taking flight  Im high, staring at the ceiling Sending my love, what a wonderful feeling What comes next, I see a light Im along for the ride as Im taking flight  It feels good to be running from the devil Another breath and Im up another level It feels good to be up above the clouds It feels good for the first time in a long time now  It feels good for the first time in a long time to be me It feels good for the first time in a while Im free  Im high, staring at the ceiling Sending my love, what a wonderful feeling What comes next, I see a light Im along for the ride as Im taking flight"
Alone,Heart,118587842,"Thought I found a way Thought I found a way out (Found) But you never go away (Never go away) So I guess I gotta stay now  Oh, I hope some day I'll make it out of here Even if it takes all night or a hundred years Need a place to hide, but I can't find one near Wanna feel alive, outside I can't fight my fear  Isn't it lovely, all alone Heart made of glass, my mind of stone Tear me to pieces, skin to bone Hello, welcome home  Walking out of time Looking for a better place (Looking for a better place) Something's on my mind Always in my head space  But I know someday I'll make it out of here Even if it takes all night or a hundred years Need a place to hide, but I can't find one near Wanna feel alive, outside I can't fight my fear  Isn't it lovely, all alone Heart made of glass, my mind of stone Tear me to pieces, skin to bone Hello, welcome home  Woah, yeah Yeah, ah Woah, woah Hello, welcome home"
Break Stuff,Limp Bizkit,150388849,"It's just one of those days When you don't wanna wake up Everything is fucked Everybody sucks You don't really know why But you wanna justify Rippin' someone's head off No human contact And if you interact Your life is on contract Your best bet is to stay away, motherfucker! It's just one of those days  It's all about the he says/she says bullshit I think you better quit lettin' shit slip Or you'll be leavin' with a fat lip It's all about the he says/she says bullshit I think you better quit talkin' that shit  It's just one of those days Feelin' like a freight train First one to complain Leaves with a blood stain Damn right, I'm a maniac You better watch your back 'Cause I'm fuckin' up your program And if you're stuck up You're just lucked up Next in line to get fucked up Your best bet is to stay away, motherfucker! It's just one of those days  It's all about the he says/she says bullshit I think you better quit lettin' shit slip Or you'll be leavin' with a fat lip It's all about the he says/she says bullshit I think you better quit talkin' that shit Punk, so come and get it  I feel like shit My suggestion is to keep your distance 'Cause right now I'm dangerous We've all felt like shit And been treated like shit All those motherfuckers that want to step up I hope you know I pack a chain saw I'll skin your ass raw And if my day keeps goin' this way I just might break somethin' tonight I pack a chainsaw I'll skin your ass raw And if my day keeps goin' this way I just might break somethin' tonight I pack a chainsaw I'll skin your ass raw And if my day keeps goin' this way I just might break your fuckin' face tonight  Give me somethin' to break Give me somethin' to break Just give me somethin' to break How 'bout your fuckin' face? I hope you know I pack a chainsaw (what?) A chainsaw (what?) A motherfuckin' chainsaw (what?) So come and get it  It's all about the he says/she says bullshit I think you better quit lettin' shit slip Or you'll be leavin' with a fat lip It's all about the he says/she says bullshit I think you better quit talkin' that shit Punk, so come and get it"
Fly Away,Lenny Kravitz,110816048,"I wish that I could fly Into the sky So very high Just like a dragonfly I'd fly above the trees Over the seas In all degrees To anywhere I please Ohhhh!  I want to get away I wanna fly away (Yeah, yeah, yeah) I want to get away I wanna fly away (Yeah, yeah, yeah)  Let's go and see the stars The Milky Way Or even Mars Where it could just be ours Let's fade into the sun Let your spirit fly Where we are one Just for a little fun Oh, oh, oh yeah!  I want to get away I want to fly away (Yeah, yeah, yeah) I want to get away I want to fly away (Yeah, yeah, yeah)  I got to get away, get away, get away Girl, I got to get away, get away, get away  Oh, oh, oh yeah I want to get away I wanna fly away (Yeah) with you (yeah, yeah) Oh yeah I want to get away I wanna fly away (Yeah) with you (yeah, yeah) I gotta get away  I want to get away, I want to get away I want to get away, I want to get away Yeah! I want to get away I wanna fly away (Yeah) with you (yeah, yeah) Girl, I got to get away I want to get away, I want to get away I want to get away, I want to get away Yeah! I want to get away I wanna fly away (Yeah) with you (yeah, yeah) Yeah, yeah, yeah, yeah, yeah"
Chlorine,Twenty One Pilots,157025155,"So, where are ya? It's been a little while  Sippin' on straight chlorine Let the vibe slide over me This beat is a chemical, beat is a chemical When I leave, don't save my seat I'll be back when it's all complete The moment is medical, moment is medical Sippin' on straight chlorine  Lovin' what I'm tastin', woah Venom on my tongue, dependent at times Poisonous vibrations, woah Help my body run  I'm runnin' for my life Runnin' for my life  Sippin' on straight chlorine Let the vibe slide over me This beat is a chemical, beat is a chemical When I leave, don't save my seat I'll be back when it's all complete The moment is medical, moment is medical Sippin' on straight chlorine  Fall out of formation, woah I plan my escape from walls they confined Rebel red carnation, woa-a-oh Grows while I decay  I'm runnin' for my life Runnin' for my life Yeah, I'm runnin' for my life Runnin' for my life  Hide you in my coat pocket, where I kept my rebel red I felt I was invincible, you wrapped around my head Now different lives I lead, my body lives on lead The last two lines may read incorrect until said The lead is terrible in flavor But now you double as a paper maker I despise you sometimes, I love to hate the fight And you in my life is like  Sippin' on straight chlorine Let the vibe slide over me This beat is a chemical, beat is a chemical When I leave, don't save my seat I'll be back when it's all complete The moment is medical, moment is medical Sippin' on straight chlorine  Let the vibe, let the vibe Let the vibe, let the vibe Beat is a chemical, yeah Let the vibe, let the vibe Let the vibe, let the vibe Moment is medical, yeah Sippin' on straight chlorine Let the vibe, let the vibe Let the vibe, let the vibe Beat is a chemical, yeah Let the vibe, let the vibe Let the vibe, let the vibe Moment is medical, yeah  I'm so sorry I forgot you Let me catch you up to speed I've been tested like the ends of A weathered flag that's by the sea Can you build my house with pieces? I'm just a chemical Can you build my house with pieces? I'm just a chemical Can you build my house with pieces? I'm just a chemical Can you build my house with pieces? I'm just a chemical"
